site,data_type,trend,h,p,z,Tau,s,var_s,slope,intercept,slope m/20y
#1004504,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.1252272727272725,-86.48534090909091,-10.0181818181818
#1004603,level,decreasing,True,3.244187474216176e-08,-5.527720285476424,-0.9298245614035088,-159,817.0,-0.2712500000000002,-83.56875000000001,-21.70000000000002
#1004901,level,decreasing,True,0.0,-9.501712945926613,-0.7240506329113924,-2288,57933.33333333334,-0.06111111111111181,-64.59346405228754,-4.888888888888944
#1005225,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-0.4156302521008406,-83.53651260504202,-33.25042016806725
#1005502,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.4750000000000014,-75.29499999999999,-38.00000000000011
#1005603,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.7470588235294119,-64.54294117647059,-59.76470588235295
#1005814,level,decreasing,True,8.541400475792216e-09,-5.757410544997134,-1.0,-153,697.0,-0.6266666666666667,-65.23833333333333,-50.13333333333334
#1005905,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.7233333333333329,-70.80000000000001,-57.86666666666663
#1006,level,increasing,True,0.03534375596731243,2.104397859691193,0.3823529411764706,52,587.3333333333334,0.05677083333333292,-63.90416666666667,4.541666666666634
#1006101,level,decreasing,True,1.954839812023934e-06,-4.758037714080973,-0.8011695906432749,-137,817.0,-0.788571428571429,-67.41285714285715,-63.08571428571432
#1006302,level,decreasing,True,2.54587155601449e-06,-4.704421212792114,-0.7684210526315789,-146,950.0,-0.09166666666666679,-66.24416666666667,-7.333333333333343
#1006403,level,decreasing,True,4.163176026139581e-09,-5.877575999747084,-0.9883040935672515,-169,817.0,-0.5666666666666677,-65.17999999999999,-45.33333333333341
#1006602,level,decreasing,True,0.001654595284197091,-3.146106880852449,-0.5490196078431373,-84,696.0,-0.1541666666666662,-64.57458333333332,-12.3333333333333
#1006710,level,no trend,False,0.7105230229164894,-0.3711537444790451,-0.1428571428571428,-4,65.33333333333333,-0.1500000000000004,-58.3,-12.00000000000003
#1006909,level,decreasing,True,0.000353043991793367,-3.5729041649307,-0.6023391812865497,-103,815.0,-0.06888888888888861,-50.52,-5.511111111111089
#1007,level,decreasing,True,0.0001520054036139307,-3.787770095392851,-0.6601307189542484,-101,697.0,-0.1920000000000002,-62.678,-15.36000000000001
#1007301,level,decreasing,True,6.594379464708311e-08,-5.401886167040738,-0.8789473684210526,-167,944.3333333333334,-0.03724999999999969,-42.961125,-2.979999999999976
#1007501,level,decreasing,True,0.001845721317696336,-3.113995776646092,-0.7454545454545455,-41,165.0,-0.08249999999999957,-53.3775,-6.599999999999966
#1007601,level,decreasing,True,2.443255364892316e-05,-4.219978575547771,-0.6894736842105263,-131,949.0,-0.0734848484848484,-32.18689393939395,-5.878787878787872
#1007701,level,increasing,True,0.007023780103332822,2.695714680215768,0.4421052631578947,84,948.0,0.04114379084967354,-33.5608660130719,3.291503267973883
#1007805,level,decreasing,True,1.138948988232968e-06,-4.865973291997334,-0.8187134502923976,-140,816.0,-0.06785714285714255,-43.48928571428572,-5.428571428571404
#1008,level,no trend,False,0.239973925528842,1.1750519675473,0.2091503267973856,32,696.0,0.1733333333333336,-78.41333333333333,13.86666666666669
#1008102,level,increasing,True,1.334227890903428e-05,4.354414914803594,0.7105263157894737,135,947.0,0.03178571428571431,-45.94196428571428,2.542857142857144
#1008133,level,no trend,False,0.2206713619198468,1.224744871391589,0.6,6,16.66666666666667,0.1150000000000008,-49.8,9.200000000000063
#1008230,level,decreasing,True,2.172249380372193e-08,-5.597691428330557,-0.9415204678362573,-161,817.0,-0.03999999999999915,-44.45000000000001,-3.199999999999932
#1008405,level,decreasing,True,4.770302451273523e-06,-4.574644075887504,-0.7473684210526316,-142,950.0,-0.04562200956937792,-35.49159090909091,-3.649760765550234
#1008417,level,decreasing,True,0.0006292885421588235,-3.418666282623015,-0.5578947368421052,-106,943.3333333333334,-0.01618181818181818,-29.93127272727273,-1.294545454545454
#1009,level,increasing,True,0.001137051514780829,3.254217590557956,0.5882352941176471,80,589.3333333333334,0.3560714285714288,-83.15857142857143,28.48571428571431
#1009101,level,no trend,False,0.7907519318066429,-0.2653343152526162,-0.05228758169934641,-8,696.0,-0.01125000000000043,-34.09937499999999,-0.9000000000000341
#1009401,level,no trend,False,0.4284804194979965,-0.7917946548886297,-0.1619047619047619,-17,408.3333333333333,-0.0400000000000027,-30.77999999999998,-3.200000000000216
#1009601,level,decreasing,True,0.03544789255246084,-2.103204552047922,-0.6428571428571429,-18,65.33333333333333,-0.2512499999999998,-17.850625,-20.09999999999998
#1009701,level,decreasing,True,0.002993655015421037,-2.968388695026176,-0.5367647058823529,-73,588.3333333333334,-0.03757142857142856,-42.56942857142857,-3.005714285714285
#1009801,level,decreasing,True,0.01012586472032728,-2.571501258906754,-0.4833333333333333,-58,491.3333333333333,-0.01278846153846156,-16.81408653846154,-1.023076923076925
#1010,level,increasing,True,0.0008480904387100363,3.33660284601512,0.6029411764705882,82,589.3333333333334,0.4750961538461537,-73.29076923076923,38.0076923076923
#1010101,level,no trend,False,0.2829370962721289,1.073744755463932,0.1985294117647059,27,586.3333333333334,0.008952380952380625,-45.72161904761904,0.7161904761904501
#1010301,level,no trend,False,0.5845027658790456,0.5468194694094257,0.1142857142857143,12,404.6666666666667,0.00999999999999801,-37.58999999999999,0.7999999999998408
#1010601,level,increasing,True,3.882838583990633e-08,5.496099329809939,0.9239766081871345,158,816.0,0.1566666666666663,-55.05,12.5333333333333
#1010701,level,increasing,True,1.303004975694577e-06,4.83929502833915,0.7894736842105263,150,948.0,0.03500000000000014,-49.01750000000001,2.800000000000011
#1010702,level,increasing,True,0.00914914757959373,2.606430175713435,0.7222222222222222,26,92.0,0.1458333333333357,-55.28333333333335,11.66666666666686
#1011404,level,decreasing,True,2.788913100459922e-09,-5.943563692523923,-0.968421052631579,-184,948.0,-0.05464102564102541,-62.48091025641026,-4.371282051282033
#1011802,level,decreasing,True,0.0001549027146052762,-3.783074998161918,-0.6374269005847953,-109,815.0,-0.06333333333333258,-72.75,-5.066666666666606
#1012,level,decreasing,True,1.653081955765856e-07,-5.234638368495083,-0.9084967320261438,-139,695.0,-0.1758333333333333,-60.67041666666667,-14.06666666666666
#1012105,level,decreasing,True,0.01887554592966589,-2.347979780529159,-0.4264705882352941,-58,589.3333333333334,-0.07499999999999929,-55.95,-5.999999999999943
#1012203,level,decreasing,True,1.390029447101426e-08,-5.674612497242876,-0.9532163742690059,-163,815.0,-0.08900000000000005,-23.489,-7.120000000000005
#1012302,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.3073333333333333,-67.884,-24.58666666666666
#1012404,level,decreasing,True,6.473405404028298e-05,-3.99485428513903,-0.6526315789473685,-124,948.0,-0.08985714285714275,-68.51135714285715,-7.18857142857142
#1012504,level,decreasing,True,1.447586850389371e-08,-5.667662571184689,-0.9532163742690059,-163,817.0,-0.689090909090909,-67.55818181818182,-55.12727272727272
#1012703,level,decreasing,True,7.83774776147439e-06,-4.469568712563564,-0.7777777777777778,-119,697.0,-0.2007692307692313,-61.12846153846153,-16.0615384615385
#1013104,level,decreasing,True,2.487484891400271e-07,-5.158641191958249,-0.8421052631578947,-160,950.0,-0.4872222222222197,-79.03138888888891,-38.97777777777758
#1013305,level,decreasing,True,1.620619971554049e-08,-5.648279016502401,-0.9210526315789473,-175,949.0,-0.5844034090909092,-63.04316761363636,-46.75227272727273
#1013307,level,decreasing,True,4.938495212769567e-08,-5.453510774554042,-0.8894736842105263,-169,949.0,-0.6000000000000045,-56.71499999999995,-48.00000000000036
#1013404,level,decreasing,True,6.340237668212012e-09,-5.807526876481298,-0.9473684210526315,-180,950.0,-0.3367532467532469,-66.35084415584417,-26.94025974025975
#1013405,level,decreasing,True,1.574081359478896e-05,-4.31805790874785,-0.7516339869281046,-115,697.0,-0.2157142857142844,-71.16642857142858,-17.25714285714275
#1013806,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.4196153846153856,-66.22365384615384,-33.56923076923085
#1013910,level,decreasing,True,1.050254663237382e-07,-5.317806856914029,-0.8947368421052632,-153,817.0,-0.3699999999999903,-68.27000000000008,-29.59999999999923
#1014,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-0.1510000000000007,-45.71549999999999,-12.08000000000006
#1014206,level,decreasing,True,9.321268867878985e-09,-5.742638308028994,-0.9368421052631579,-178,950.0,-0.1315263157894735,-35.73050000000001,-10.52210526315788
#1014207,level,decreasing,True,0.0004677828398356176,-3.498557142706598,-0.5906432748538012,-101,817.0,-0.1059999999999999,-20.276,-8.47999999999999
#1014405,level,decreasing,True,3.4634906054265e-09,-5.907970005766879,-0.9631578947368421,-183,949.0,-0.08333333333333333,-41.31333333333334,-6.666666666666666
#1014513,level,no trend,False,0.2370489531527742,1.182395133797152,0.1947368421052632,37,927.0,0.002182539682539572,-30.74573412698413,0.1746031746031658
#1014704,level,decreasing,True,1.196734329411697e-07,-5.293993890062292,-0.8631578947368421,-164,948.0,-0.04763888888888859,-51.06743055555556,-3.811111111111087
#1014706,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-0.3591666666666669,-64.34708333333333,-28.73333333333335
#1014901,level,increasing,True,0.0008913420187552923,3.322751745946841,0.5421052631578948,103,942.3333333333334,0.01816666666666649,-33.91258333333333,1.453333333333319
#1016,level,decreasing,True,5.557238154096922e-07,-5.006001300400134,-0.8421052631578947,-144,816.0,-0.2869230769230767,-42.22769230769232,-22.95384615384613
#1016301,level,no trend,False,0.4830122750162367,0.7014659532303975,0.1323529411764706,18,587.3333333333334,0.01392857142857136,-53.56142857142857,1.114285714285709
#1017,level,decreasing,True,0.0050637539414915,-2.80294987059071,-0.4901960784313725,-75,697.0,-0.1188888888888889,-46.74944444444444,-9.511111111111113
#1017501,level,decreasing,True,2.443255364892316e-05,-4.219978575547771,-0.6894736842105263,-131,949.0,-0.07499999999999987,-78.79749999999999,-5.999999999999989
#1017602,level,decreasing,True,4.179743462451313e-08,-5.483084034219774,-0.8947368421052632,-170,950.0,-0.1265151515151508,-57.78810606060606,-10.12121212121206
#1017804,level,decreasing,True,9.921865932494e-05,-3.892494720807615,-0.9272727272727272,-51,165.0,-0.4129999999999995,-66.22500000000001,-33.03999999999996
#1018,level,decreasing,True,4.311257449840511e-05,-4.090133080915532,-0.6684210526315789,-127,949.0,-0.2842857142857143,-69.29428571428572,-22.74285714285714
#1018204,level,increasing,True,5.761300190254559e-07,4.999051543341205,0.8157894736842105,155,949.0,0.06000000000000024,-91.37000000000002,4.800000000000019
#1018302,level,increasing,True,8.794628235886393e-06,4.444866938982893,0.7263157894736842,138,950.0,0.09225000000000047,-77.01637500000001,7.380000000000038
#1018504,level,increasing,True,8.352662660260357e-05,3.934049337012248,0.6421052631578947,122,946.0,0.02464285714285605,-84.67410714285712,1.971428571428484
#1018602,level,increasing,True,4.29490776276964e-09,5.872415444933604,0.9578947368421052,182,950.0,0.1020833333333334,-90.35979166666667,8.166666666666675
#1018701,level,increasing,True,0.007023780103332822,2.695714680215768,0.4421052631578947,84,948.0,0.04208333333333354,-72.02479166666667,3.366666666666683
#1018901,level,decreasing,True,7.529158265739966e-06,-4.478153142664445,-0.7543859649122807,-129,817.0,-0.3042857142857157,-86.39142857142855,-24.34285714285725
#1019101,level,decreasing,True,0.0002695195722353105,-3.642961109341106,-0.6140350877192983,-105,815.0,-0.1185714285714283,-89.51285714285714,-9.485714285714266
#1019202,level,decreasing,True,0.0002085148884181098,-3.708470571268994,-0.6257309941520468,-107,817.0,-0.2600000000000051,-97.26999999999995,-20.80000000000041
#1019301,level,no trend,False,0.07420341132975516,-1.785357107135712,-0.304093567251462,-52,816.0,-0.02307692307692286,-85.5823076923077,-1.846153846153829
#1019404,level,decreasing,True,3.491979751357732e-06,-4.639532644339808,-0.7578947368421053,-144,950.0,-0.1950595238095235,-77.59693452380952,-15.60476190476188
#1019602,level,decreasing,True,8.636119064320269e-08,-5.353306897315163,-0.8736842105263158,-166,950.0,-0.4279910714285711,-89.64908482142857,-34.23928571428569
#1019802,level,decreasing,True,8.505094761801502e-08,-5.356071321407137,-0.9005847953216374,-154,816.0,-0.1700000000000017,-76.81999999999998,-13.60000000000014
#1020,level,decreasing,True,2.135785457180184e-05,-4.250201233625979,-0.6947368421052632,-132,950.0,-0.2965476190476188,-67.02279761904762,-23.72380952380951
#1020201,level,decreasing,True,2.330831305741299e-09,-5.972892753082998,-0.9736842105263158,-185,949.0,-0.08888888888888857,-60.29055555555556,-7.111111111111086
#1020402,level,decreasing,True,0.0002742312366759148,-3.638499428414862,-0.6140350877192983,-105,817.0,-0.1233333333333301,-81.62000000000003,-9.86666666666641
#1020602,level,decreasing,True,0.04296014602842502,-2.02409725481996,-0.4909090909090909,-27,165.0,-0.1312499999999996,-70.11375,-10.49999999999997
#1020901,level,increasing,True,0.002889563703199149,2.979248458239322,0.5029239766081871,86,814.0,0.07875000000000032,-63.99875,6.300000000000026
#1021,level,decreasing,True,0.01248222658445419,-2.498209885413743,-0.4105263157894737,-78,950.0,-0.1793809523809525,-58.40088095238095,-14.3504761904762
#1021201,level,decreasing,True,5.761300190254559e-07,-4.999051543341205,-0.8157894736842105,-155,949.0,-0.26439393939394,-73.86325757575757,-21.1515151515152
#1021205,level,decreasing,True,8.636119064320269e-08,-5.353306897315163,-0.8736842105263158,-166,950.0,-0.3149999999999989,-73.8225,-25.19999999999992
#1021404,level,decreasing,True,0.0003650115072546534,-3.564168444854523,-0.9722222222222222,-35,91.0,-0.5668750000000014,-71.8425,-45.35000000000011
#1021605,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.2645208333333332,-52.41705208333333,-21.16166666666665
#1021703,level,decreasing,True,1.514637331401225e-05,-4.326548861480545,-0.8083333333333333,-97,492.3333333333333,-0.05634920634920675,-76.10738095238095,-4.50793650793654
#1021803,level,decreasing,True,7.133408641557537e-08,-5.387777999768161,-0.9064327485380117,-155,817.0,-0.325,-78.775,-26.0
#1022,level,decreasing,True,1.138948988232968e-06,-4.865973291997334,-0.8187134502923976,-140,816.0,-0.3969230769230767,-58.78769230769231,-31.75384615384613
#1022203,level,decreasing,True,3.420348115845684e-08,-5.518433521870162,-0.9,-171,949.0,-0.2668974358974359,-58.88947435897435,-21.35179487179487
#1022302,level,no trend,False,0.344562365325698,-0.9451890567189065,-0.1637426900584795,-28,816.0,-0.01599999999999966,-30.816,-1.279999999999973
#1022404,level,decreasing,True,7.475868127881924e-06,-4.479669564812249,-0.7315789473684211,-139,949.0,-0.2835555555555558,-63.39122222222223,-22.68444444444446
#1022602,level,decreasing,True,4.179743462451313e-08,-5.483084034219774,-0.8947368421052632,-170,950.0,-0.1500000000000012,-28.05999999999999,-12.0000000000001
#1022703,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.3300000000000003,-62.31,-26.40000000000003
#1022801,level,decreasing,True,4.29490776276964e-09,-5.872415444933604,-0.9578947368421052,-182,950.0,-0.2227884615384618,-59.5935096153846,-17.82307692307695
#1022903,level,no trend,False,0.9223805774443636,0.09743547036924463,0.02105263157894737,4,948.0,0.0006787330316742821,-47.87644796380091,0.05429864253394256
#1023702,level,decreasing,True,0.0001487085665516918,-3.793216209054408,-0.6601307189542484,-101,695.0,-0.02333333333333343,-42.99666666666667,-1.866666666666674
#1023703,level,no trend,False,0.1952308709703821,-1.295259077725909,-0.2222222222222222,-38,816.0,-0.01799999999999997,-31.958,-1.439999999999998
#1023902,level,decreasing,True,4.799337360861244e-07,-5.034165969077639,-0.8210526315789474,-156,948.0,-0.03654761904761888,-60.36779761904762,-2.923809523809511
#1024,level,no trend,False,0.3467641835161843,-0.9408842425584227,-0.1578947368421053,-30,950.0,-0.1166666666666648,-67.53166666666668,-9.333333333333183
#1024401,level,decreasing,True,2.947599402780554e-06,-4.674437806760608,-0.7631578947368421,-145,949.0,-0.02746153846153786,-57.88911538461539,-2.196923076923029
#1024501,level,decreasing,True,0.0008764056352392746,-3.327463200629437,-0.5421052631578948,-103,939.6666666666666,-0.01200000000000022,-49.68599999999999,-0.9600000000000175
#1024802,level,increasing,True,0.0007355250112244249,3.375982860438217,0.5526315789473685,105,949.0,0.04330357142857134,-55.48638392857143,3.464285714285707
#1024901,level,no trend,False,0.1191986576497981,1.558145935586869,0.2578947368421053,49,949.0,0.01641025641025715,-56.22089743589744,1.312820512820572
#1025103,level,increasing,True,9.640107467201453e-05,3.899476043107696,0.6368421052631579,121,947.0,0.02720779220779192,-75.10847402597402,2.176623376623353
#1025301,level,increasing,True,2.702549273259081e-08,5.559689558918136,0.9052631578947369,172,946.0,0.0955769230769231,-90.88298076923077,7.646153846153848
#1025402,level,increasing,True,7.838891040723439e-07,4.939336321269749,0.8052631578947368,153,947.0,0.03857142857142902,-79.93642857142856,3.085714285714322
#1025802,level,decreasing,True,0.000613905375006274,-3.425395354310701,-0.8181818181818182,-45,165.0,-0.1033333333333325,-89.88333333333334,-8.266666666666602
#1025914,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-0.3424871794871797,-74.0513717948718,-27.39897435897437
#1026,level,decreasing,True,0.01050798764095506,-2.558648675899653,-0.4327485380116959,-74,814.0,-0.2690909090909092,-52.22818181818182,-21.52727272727273
#1026102,level,decreasing,True,4.911239758631503e-05,-4.059811265385193,-0.6631578947368421,-126,948.0,-0.1937980769230766,-85.70891826923078,-15.50384615384613
#1026306,level,decreasing,True,0.0004415629874863214,-3.513909642493636,-0.8363636363636363,-46,164.0,-0.09142857142857151,-124.8428571428571,-7.314285714285721
#1026402,level,decreasing,True,2.890011474576681e-08,-5.547972602672079,-0.9052631578947369,-172,950.0,-0.2896428571428535,-99.69839285714288,-23.17142857142828
#1026502,level,decreasing,True,4.29490776276964e-09,-5.872415444933604,-0.9578947368421052,-182,950.0,-0.4643560606060603,-117.1186174242424,-37.14848484848482
#1026603,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.5687301587301593,-116.7270634920635,-45.49841269841274
#1026802,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.9462912087912086,-93.84523351648353,-75.70329670329669
#1027,level,no trend,False,0.618761193108831,-0.4976068238676174,-0.1,-12,488.6666666666667,-0.02004545454545463,-42.7996590909091,-1.60363636363637
#1027104,level,decreasing,True,2.721903813451831e-09,-5.947547142601216,-1.0,-171,817.0,-0.5357142857142857,-97.98857142857143,-42.85714285714285
#1027105,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.3157142857142884,-123.0557142857143,-25.25714285714307
#1027501,level,decreasing,True,1.364781865298426e-08,-5.677749739576689,-0.9263157894736842,-176,950.0,-0.4291249999999994,-132.5733125,-34.32999999999996
#1027902,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-1.1265,-103.63325,-90.12
#1028,level,no trend,False,0.4523703606773608,0.7514691493021795,0.3333333333333333,5,28.33333333333333,0.4349999999999996,-20.0275,34.79999999999997
#1028103,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.5883124999999989,-115.57603125,-47.06499999999991
#1028202,level,decreasing,True,2.642238279726428e-06,-4.696834918287135,-0.8169934640522876,-125,697.0,-0.2225000000000001,-106.68375,-17.80000000000001
#1028301,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.3920833333333341,-104.1552083333333,-31.36666666666673
#1028501,level,decreasing,True,8.636119064320269e-08,-5.353306897315163,-0.8736842105263158,-166,950.0,-0.7166666666666677,-119.1566666666667,-57.33333333333341
#1028801,level,decreasing,True,4.747060882381859e-06,-4.575666570649223,-0.9743589743589743,-76,268.6666666666667,-0.6114285714285717,-113.4014285714286,-48.91428571428573
#1029201,level,decreasing,True,7.553790037917452e-09,-5.77812451113464,-0.9421052631578948,-179,949.0,-0.3141666666666669,-89.11041666666667,-25.13333333333335
#1029302,level,decreasing,True,9.60084745038614e-09,-5.737633714038821,-0.9649122807017544,-165,817.0,-0.151250000000001,-101.51875,-12.10000000000008
#1029603,level,decreasing,True,2.330831305741299e-09,-5.972892753082998,-0.9736842105263158,-185,949.0,-0.6443749999999979,-91.06843750000002,-51.54999999999983
#1029704,level,decreasing,True,8.429759867922826e-08,-5.357679509799904,-1.0,-120,493.3333333333333,-0.7622027972027969,-116.798479020979,-60.97622377622375
#1029912,level,decreasing,True,8.474900488053549e-07,-4.924101124010706,-0.8562091503267973,-131,697.0,-0.5011111111111101,-94.38555555555557,-40.0888888888888
#1030103,level,decreasing,True,1.990082609815147e-08,-5.612861171124384,-0.9157894736842105,-174,950.0,-0.294660633484163,-89.54072398190046,-23.57285067873304
#1030203,level,decreasing,True,1.523756226462503e-05,-4.325225911501081,-0.7794117647058824,-106,589.3333333333334,-0.3100000000000017,-76.70999999999998,-24.80000000000014
#1030301,level,no trend,False,0.7702877264736667,0.2919985580353726,0.05263157894736842,10,950.0,0.009444444444444243,-50.24972222222222,0.7555555555555394
#1030403,level,no trend,False,0.1077622903919215,-1.608332892742529,-0.5,-14,65.33333333333333,-0.4537500000000012,-104.026875,-36.3000000000001
#1030505,level,decreasing,True,8.67976357454836e-10,-6.131969718742824,-1.0,-190,950.0,-0.1807692307692303,-78.39769230769232,-14.46153846153843
#1030607,level,decreasing,True,0.008813517670391402,-2.619204182103875,-0.457516339869281,-70,694.0,-0.02307692307692286,-61.52884615384616,-1.846153846153829
#1030701,level,decreasing,True,7.153109903734745e-06,-4.489080991901143,-0.9120879120879121,-83,333.6666666666667,-0.8700000000000007,-92.38999999999999,-69.60000000000005
#1030802,level,decreasing,True,1.333974308792563e-08,-5.681655143089277,-0.9869281045751634,-151,697.0,-1.165,-92.3675,-93.20000000000002
#1031,level,no trend,False,0.5696455906988613,0.5685735326841775,0.1045751633986928,16,696.0,0.03142857142857228,-45.80714285714287,2.514285714285783
#1031201,level,decreasing,True,1.828203140008533e-05,-4.28490132286389,-0.7,-133,949.0,-0.1859935897435891,-61.47306089743591,-14.87948717948713
#1031501,level,decreasing,True,7.284834069309909e-09,-5.784222797276416,-0.9421052631578948,-179,947.0,-0.03591666666666704,-72.13879166666665,-2.873333333333363
#1031601,level,decreasing,True,8.636119064320269e-08,-5.353306897315163,-0.8736842105263158,-166,950.0,-0.1014583333333335,-62.72114583333333,-8.116666666666681
#1031701,level,decreasing,True,3.882838583990633e-08,-5.496099329809939,-0.9239766081871345,-158,816.0,-0.2487499999999994,-85.74125000000001,-19.89999999999995
#1031803,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.6629166666666657,-89.83229166666668,-53.03333333333326
#1032201,level,decreasing,True,1.954839812023934e-06,-4.758037714080973,-0.8011695906432749,-137,817.0,-0.1025000000000009,-55.90749999999999,-8.200000000000074
#1032301,level,decreasing,True,2.060225807731797e-07,-5.193819785289564,-0.8473684210526315,-161,949.0,-0.154137254901961,-56.19069607843137,-12.33098039215688
#1032502,level,decreasing,True,0.0003589921023694487,-3.56852828556073,-0.6023391812865497,-103,817.0,-0.04999999999999952,-48.55,-3.999999999999962
#1032601,level,decreasing,True,1.120475258131748e-06,-4.869206048708966,-0.7947368421052632,-151,949.0,-0.1087499999999997,-42.381875,-8.699999999999974
#1032703,level,decreasing,True,1.011282763663246e-05,-4.41474681749613,-0.7210526315789474,-137,949.0,-0.2087500000000038,-87.73687499999997,-16.7000000000003
#1032803,level,no trend,False,0.1387612611590638,-1.48041975510219,-0.261437908496732,-40,694.0,-0.01600000000000061,-65.954,-1.280000000000049
#1033103,level,decreasing,True,1.302557617322009e-09,-6.067081150290519,-0.9894736842105263,-188,950.0,-0.8889999999999993,-116.2995,-71.11999999999995
#1033311,level,decreasing,True,6.020357723457437e-08,-5.418195465767469,-0.8842105263157894,-168,950.0,-0.3672222222222218,-99.07138888888889,-29.37777777777774
#1033407,level,decreasing,True,2.623614939456509e-05,-4.203894298472224,-1.0,-55,165.0,-0.7800000000000011,-134.85,-62.40000000000009
#1033606,level,decreasing,True,8.303070332638107e-05,-3.93547964039963,-1.0,-45,125.0,-0.7744444444444443,-127.795,-61.95555555555554
#1033802,level,decreasing,True,2.682259059305636e-08,-5.561004743358533,-1.0,-136,589.3333333333334,-1.338333333333336,-99.5633333333333,-107.0666666666669
#1033803,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.4853496503496506,-112.9791783216783,-38.82797202797205
#1033902,level,decreasing,True,1.946706129629661e-09,-6.002192581838214,-0.9789473684210527,-186,950.0,-0.699062500000001,-89.49890624999999,-55.92500000000008
