AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,AltVa,NatAquiferCd,NatAqfrDesc,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,AquiferType
TWDB,2735701,Texas Water Development Board,University of Texas Shafter Lake Quad,32.3975,-102.711945,NAD83,3239.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2738801,Texas Water Development Board,2738801,32.3838889,-102.3136111,NAD83,3003.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2738701,Texas Water Development Board,2738701,32.4075,-102.3641667,NAD83,3020.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2752702,Texas Water Development Board,2752702,32.1272222,-102.6038889,NAD83,3134.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2733201,Texas Water Development Board,Barrow Cattle Co.,32.471111,-102.945556,NAD83,3428.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2744201,Texas Water Development Board,2744201,32.3586111,-102.5583333,NAD83,3168.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2746601,Texas Water Development Board,7 Bird Ranch,32.321944,-102.268611,NAD83,3172.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2738401,Texas Water Development Board,2738401,32.42,-102.3566667,NAD83,3010.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2754902,Texas Water Development Board,2754902,32.1641667,-102.255,NAD83,2923.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2753402,Texas Water Development Board,2753402,32.1883333,-102.4861111,NAD83,3120.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2752402,Texas Water Development Board,2752402,32.1827778,-102.5863889,NAD83,3163.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,2745901,Texas Water Development Board,Five Wells Ranch SW Quad,32.281111,-102.381944,NAD83,3037.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2754101,Texas Water Development Board,2754101,32.24,-102.3608333,NAD83,3001.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala,UNCONFINED
TWDB,2750802,Texas Water Development Board,University of Texas Sand Ranch Quad,32.155556,-102.811112,NAD83,3362.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2743701,Texas Water Development Board,Lazy X Ranch,32.272222,-102.733889,NAD83,3245.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2738802,Texas Water Development Board,Five Wells Ranch,32.416389,-102.318611,NAD83,2998.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2737801,Texas Water Development Board,Scharbauer Cattle Co.,32.402501,-102.433055,NAD83,3076.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation,UNCONFINED
TWDB,2735201,Texas Water Development Board,TWDB:2735201,32.4719444,-102.7036111,NAD83,3267.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,2735302,Texas Water Development Board,TWDB:2735302,32.4622222,-102.635,NAD83,3205.0,N100HGHPLN,High Plains aquifer,48,Texas,3,Andrews County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112803,Texas Water Development Board,TWDB:1112803,34.791111,-101.571389,NAD83,3422.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1113702,Texas Water Development Board,TWDB:1113702,34.763334,-101.4975,NAD83,3354.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,660202,Texas Water Development Board,TWDB:0660202,35.1,-101.559167,NAD83,3494.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,663203,Texas Water Development Board,TWDB:0663203,35.1,-101.183611,NAD83,3152.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,664702,Texas Water Development Board,TWDB:0664702,35.01,-101.1138889,NAD83,2980.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,663204,Texas Water Development Board,Goodnight Quad,35.093889,-101.183611,NAD83,3145.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,662402,Texas Water Development Board,TWDB:0662402,35.075,-101.3691667,NAD83,3363.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1107750,Texas Water Development Board,1107750,34.895834,-101.232222,NAD83,3266.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,1112522,Texas Water Development Board,TWDB:1112522,34.792778,-101.542778,NAD83,3396.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112901,Texas Water Development Board,TWDB:1112901,34.763056,-101.528611,NAD83,3394.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,652501,Texas Water Development Board,TWDB:0652501,35.176389,-101.559723,NAD83,3524.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,655615,Texas Water Development Board,TWDB:0655615,35.179722,-101.126111,NAD83,3297.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112701,Texas Water Development Board,Wayside Quad,34.778333,-101.616667,NAD83,3454.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,656404,Texas Water Development Board,TWDB:0656404,35.18,-101.1044444,NAD83,3281.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661601,Texas Water Development Board,TWDB:0661601,35.058056,-101.416112,NAD83,3427.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661802,Texas Water Development Board,TWDB:0661802,35.03,-101.431389,NAD83,3422.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,662101,Texas Water Development Board,TWDB:0662101,35.0938889,-101.3633333,NAD83,3387.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,662107,Texas Water Development Board,TWDB:0662107,35.096667,-101.351945,NAD83,3382.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,662201,Texas Water Development Board,TWDB:0662201,35.09,-101.321389,NAD83,3352.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,663601,Texas Water Development Board,TWDB:0663601,35.052778,-101.140556,NAD83,3030.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,664701,Texas Water Development Board,TWDB:0664701,35.0336111,-101.1102778,NAD83,2996.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112401,Texas Water Development Board,TWDB:1112401,34.807501,-101.616389,NAD83,3452.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,655511,Texas Water Development Board,0655511,35.1788889,-101.17,NAD83,3324.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,660502,Texas Water Development Board,0660502,35.0733333,-101.5588889,NAD83,3462.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,662901,Texas Water Development Board,0662901,35.036667,-101.265556,NAD83,3309.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,654801,Texas Water Development Board,0654801,35.1338889,-101.3191667,NAD83,3404.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,652906,Texas Water Development Board,Washburn Quad (SE),35.138056,-101.529444,NAD83,3440.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,654902,Texas Water Development Board,Claude NE Quad,35.128333,-101.251667,NAD83,3345.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,656702,Texas Water Development Board,Groom Quad (SE),35.158612,-101.098889,NAD83,3281.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,660902,Texas Water Development Board,Fairview Quad,35.001112,-101.529167,NAD83,3460.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,661608,Texas Water Development Board,Claude SW Quad,35.044445,-101.383334,NAD83,3406.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,662301,Texas Water Development Board,Claude Quad,35.111667,-101.2775,NAD83,3362.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,664404,Texas Water Development Board,Ashtola Quad,35.056667,-101.090278,NAD83,2968.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,1105104,Texas Water Development Board,1105104,34.9838889,-101.4619444,NAD83,3396.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (Ogallala),UNCONFINED
TWDB,1107401,Texas Water Development Board,Blue Hole Springs Quad,34.916944,-101.229167,NAD83,3275.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,1104101,Texas Water Development Board,Pony Flats Quad,34.989167,-101.593334,NAD83,3468.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,655504,Texas Water Development Board,Lark Quad Recorder,35.18111,-101.169166,NAD83,3326.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation,UNCONFINED
TWDB,663802,Texas Water Development Board,TWDB:0663802,35.014167,-101.168611,NAD83,3110.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,652801,Texas Water Development Board,TWDB:0652801,35.160556,-101.543334,NAD83,3499.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,653403,Texas Water Development Board,TWDB:0653403,35.17,-101.471389,NAD83,3480.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,653703,Texas Water Development Board,TWDB:0653703,35.165001,-101.485278,NAD83,3480.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,654701,Texas Water Development Board,TWDB:0654701,35.156112,-101.3475,NAD83,3395.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661101,Texas Water Development Board,TWDB:0661101,35.104445,-101.480833,NAD83,3452.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661204,Texas Water Development Board,TWDB:0661204,35.124167,-101.417778,NAD83,3432.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661301,Texas Water Development Board,TWDB:0661301,35.1180556,-101.3975,NAD83,3418.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,661311,Texas Water Development Board,TWDB:0661311,35.085834,-101.3925,NAD83,3402.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,662501,Texas Water Development Board,TWDB:0662501,35.060834,-101.2925,NAD83,3313.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112702,Texas Water Development Board,TWDB:1112702,34.763056,-101.596945,NAD83,3449.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112801,Texas Water Development Board,TWDB:1112801,34.778333,-101.546111,NAD83,3411.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,1112802,Texas Water Development Board,TWDB:1112802,34.777778,-101.5775,NAD83,3436.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation (121OGLL),UNCONFINED
TWDB,654752,Texas Water Development Board,0654752,35.1269444,-101.3638889,NAD83,3414.0,N100HGHPLN,High Plains aquifer,48,Texas,11,Armstrong County,Ogallala Formation and Dockum Formation,UNCONFINED
CODWR,1173,Colorado Division of Water Resources,SHP-53,37.210442,-102.122234,NAD83,3760.73,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1176,Colorado Division of Water Resources,SHP-56,37.265878,-102.410194,NAD83,4128.7,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1178,Colorado Division of Water Resources,SHP-58,37.260349,-102.441051,NAD83,4184.83,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1219,Colorado Division of Water Resources,SHP-59,37.23629,-102.538853,NAD83,4343.32,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1133,Colorado Division of Water Resources,SHP-08,37.585433,-102.27581,NAD83,3951.0,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1158,Colorado Division of Water Resources,SHP-37,37.355124,-102.059076,NAD83,3690.48,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1204,Colorado Division of Water Resources,SHP-41,37.358138,-102.295016,NAD83,3968.64,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1164,Colorado Division of Water Resources,SHP-45,37.375613,-102.613021,NAD83,4410.11,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1172,Colorado Division of Water Resources,SHP-52,37.269251,-102.199948,NAD83,3831.52,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1128,Colorado Division of Water Resources,SHP-04,37.638362,-102.255953,NAD83,3919.65,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1129,Colorado Division of Water Resources,SHP-05,37.636835,-102.264898,NAD83,3949.07,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1132,Colorado Division of Water Resources,SHP-07,37.593445,-102.26588,NAD83,3961.65,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1177,Colorado Division of Water Resources,SHP-57,37.265812,-102.440966,NAD83,4179.35,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1181,Colorado Division of Water Resources,SHP-62,37.184192,-102.113102,NAD83,3756.21,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1194,Colorado Division of Water Resources,SHP-80,37.098949,-102.848568,NAD83,4597.9,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1148,Colorado Division of Water Resources,SHP-26,37.419161,-102.073804,NAD83,3685.48,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
CODWR,1206,Colorado Division of Water Resources,SHP-44,37.335432,-102.483332,NAD83,4209.05,N100HGHPLN,High Plains aquifer,8,Colorado,9,Baca County,Ogallala aquifer,UNCONFINED
TWDB,2401104,Texas Water Development Board,2401104,33.960278,-102.992778,NAD83,4045.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1049104,Texas Water Development Board,Birdwell Ranch Quad,34.230555,-102.981389,NAD83,3947.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1042905,Texas Water Development Board,TWDB:1042905,34.279167,-102.777778,NAD83,3857.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043905,Texas Water Development Board,TWDB:1043905,34.277778,-102.648889,NAD83,3786.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050901,Texas Water Development Board,TWDB:1050901,34.154445,-102.755556,NAD83,3872.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2516305,Texas Water Development Board,2516305,33.845556,-103.007223,NAD83,3921.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2403602,Texas Water Development Board,2403602,33.934445,-102.663056,NAD83,3805.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2403201,Texas Water Development Board,2403201,33.9725,-102.67,NAD83,3792.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2508604,Texas Water Development Board,2508604,33.921667,-103.010556,NAD83,4002.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1052410,Texas Water Development Board,TWDB:1052410,34.17,-102.621389,NAD83,3785.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,956603,Texas Water Development Board,TWDB:0956603,34.19,-103.016944,NAD83,3944.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,956903,Texas Water Development Board,TWDB:0956903,34.15,-103.031667,NAD83,3955.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1042507,Texas Water Development Board,TWDB:1042507,34.31,-102.801112,NAD83,3912.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1049209,Texas Water Development Board,TWDB:1049209,34.21,-102.956112,NAD83,3909.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1049404,Texas Water Development Board,TWDB:1049404,34.2,-102.963612,NAD83,3952.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050704,Texas Water Development Board,TWDB:1050704,34.16,-102.851945,NAD83,3890.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050804,Texas Water Development Board,TWDB:1050804,34.16,-102.806389,NAD83,3891.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1051704,Texas Water Development Board,TWDB:1051704,34.16,-102.715001,NAD83,3858.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2411203,Texas Water Development Board,TWDB:2411203,33.87,-102.701112,NAD83,3786.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2409302,Texas Water Development Board,TWDB:2409302,33.8725,-102.887778,NAD83,3877.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,956602,Texas Water Development Board,TWDB:0956602,34.205278,-103.029444,NAD83,3978.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2411202,Texas Water Development Board,2411202,33.846111,-102.707501,NAD83,3760.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043402,Texas Water Development Board,TWDB:1043402,34.298056,-102.726667,NAD83,3858.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043605,Texas Water Development Board,TWDB:1043605,34.306389,-102.645834,NAD83,3839.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043807,Texas Water Development Board,TWDB:1043807,34.266389,-102.687778,NAD83,3794.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050703,Texas Water Development Board,TWDB:1050703,34.138334,-102.874167,NAD83,3927.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2402501,Texas Water Development Board,2402501,33.936945,-102.830555,NAD83,3853.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1057303,Texas Water Development Board,TWDB:1057303,34.119167,-102.900556,NAD83,3873.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1059106,Texas Water Development Board,TWDB:1059106,34.085278,-102.733055,NAD83,3915.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2403901,Texas Water Development Board,2403901,33.892778,-102.6475,NAD83,3752.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2401701,Texas Water Development Board,2401701,33.901667,-102.963889,NAD83,3962.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2411302,Texas Water Development Board,2411302,33.833889,-102.654167,NAD83,3679.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2409501,Texas Water Development Board,2409501,33.831944,-102.933055,NAD83,3886.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,2409103,Texas Water Development Board,2409103,33.857501,-102.978611,NAD83,3929.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,948902,Texas Water Development Board,TWDB:0948902,34.2875,-103.033611,NAD83,4058.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1049607,Texas Water Development Board,TWDB:1049607,34.182222,-102.891389,NAD83,3897.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050104,Texas Water Development Board,TWDB:1050104,34.211112,-102.850556,NAD83,3845.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1050602,Texas Water Development Board,TWDB:1050602,34.181389,-102.778889,NAD83,3856.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1057501,Texas Water Development Board,TWDB:1057501,34.068889,-102.936667,NAD83,3922.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1058901,Texas Water Development Board,TWDB:1058901,34.015001,-102.765001,NAD83,3864.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1059401,Texas Water Development Board,TWDB:1059401,34.045834,-102.746667,NAD83,3886.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1059402,Texas Water Development Board,TWDB:1059402,34.079167,-102.714445,NAD83,3932.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1059601,Texas Water Development Board,TWDB:1059601,34.062501,-102.633055,NAD83,3875.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043708,Texas Water Development Board,1043708,34.256667,-102.723055,NAD83,3806.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1058502,Texas Water Development Board,Baileyboro Quad,34.070555,-102.829444,NAD83,3899.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1043501,Texas Water Development Board,"Carl Bamert  Grassland Farms, Inc.",34.297222,-102.689167,NAD83,3834.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
TWDB,1042904,Texas Water Development Board,Progress Quad,34.261667,-102.763056,NAD83,3832.0,Feet,N100HGHPLN,United States of America,48,Texas,17,Bailey County,WELL
