AgencyCd,SiteNo,AgencyNm,SiteName,DecLatVa,DecLongVa,HorzDatum,HorzMethod,HorzAcy,AltVa,AltUnits,AltUnitsNm,AltDatumCd,AltMethod,AltAcy,WellDepthUnits,WellDepthUnitsNm,NatAquiferCd,NatAqfrDesc,CountryCd,CountryNm,StateCd,StateNm,CountyCd,CountyNm,LocalAquiferName,SiteType,AquiferType,QwSnFlag,QwSnDesc,QwBaselineFlag,QwBaselineDesc,WlSysName,WlSnFlag,WlSnDesc,WlBaselineFlag,WlBaselineDesc,WlWellChars,WlWellCharsDesc,WlWellType,WlWellTypeDesc,WlWellPurpose,WlWellPurposeDesc,Link,Column1
TWDB,956603,Texas Water Development Board,TWDB:0956603,34.19,-103.016944,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3944,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,187,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0956603&Type=GWDB
TWDB,956903,Texas Water Development Board,TWDB:0956903,34.15,-103.031667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3955,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,203,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0956903&Type=GWDB
TWDB,1042507,Texas Water Development Board,TWDB:1042507,34.31,-102.801112,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3912,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,373,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1042507&Type=GWDB
TWDB,1049209,Texas Water Development Board,TWDB:1049209,34.21,-102.956112,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3909,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,185,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1049209&Type=GWDB
TWDB,1049404,Texas Water Development Board,TWDB:1049404,34.2,-102.963612,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3952,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,247,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1049404&Type=GWDB
TWDB,1050704,Texas Water Development Board,TWDB:1050704,34.16,-102.851945,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3890,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,143,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050704&Type=GWDB
TWDB,1050804,Texas Water Development Board,TWDB:1050804,34.16,-102.806389,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3891,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,138,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050804&Type=GWDB
TWDB,1051704,Texas Water Development Board,TWDB:1051704,34.16,-102.715001,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3858,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,140,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1051704&Type=GWDB
TWDB,2411203,Texas Water Development Board,TWDB:2411203,33.87,-102.701112,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3786,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,139,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2411203&Type=GWDB
TWDB,2409302,Texas Water Development Board,TWDB:2409302,33.8725,-102.887778,NAD83,Interpolated from Highway or large-scale maps or with only fair location sketches,+/- 5 Seconds,3877,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,173,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2409302&Type=GWDB
TWDB,956602,Texas Water Development Board,TWDB:0956602,34.205278,-103.029444,NAD83,Interpolated From Topo Map,+/- 1 Second,3978,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,184,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0956602&Type=GWDB
TWDB,2411202,Texas Water Development Board,2411202,33.846111,-102.707501,NAD83,Interpolated From Topo Map,+/- 1 Second,3760,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2411202&Type=GWDB
TWDB,1043402,Texas Water Development Board,TWDB:1043402,34.298056,-102.726667,NAD83,Interpolated From Topo Map,+/- 1 Second,3858,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,314,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043402&Type=GWDB
TWDB,1043605,Texas Water Development Board,TWDB:1043605,34.306389,-102.645834,NAD83,Interpolated From Topo Map,+/- 1 Second,3839,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,356,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043605&Type=GWDB
TWDB,1043807,Texas Water Development Board,TWDB:1043807,34.266389,-102.687778,NAD83,Interpolated From Topo Map,+/- 1 Second,3794,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,250,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043807&Type=GWDB
TWDB,1050703,Texas Water Development Board,TWDB:1050703,34.138334,-102.874167,NAD83,Interpolated From Topo Map,+/- 1 Second,3927,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,220,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050703&Type=GWDB
TWDB,2402501,Texas Water Development Board,2402501,33.936945,-102.830555,NAD83,Interpolated From Topo Map,+/- 1 Second,3853,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (Ogallala),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2402501&Type=GWDB
TWDB,1057303,Texas Water Development Board,TWDB:1057303,34.119167,-102.900556,NAD83,Interpolated From Topo Map,+/- 1 Second,3873,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,140,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1057303&Type=GWDB
TWDB,1059106,Texas Water Development Board,TWDB:1059106,34.085278,-102.733055,NAD83,Interpolated From Topo Map,+/- 1 Second,3915,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,148,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1059106&Type=GWDB
TWDB,2403901,Texas Water Development Board,2403901,33.892778,-102.6475,NAD83,Interpolated From Topo Map,+/- 1 Second,3752,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,68,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2403901&Type=GWDB
TWDB,2401701,Texas Water Development Board,2401701,33.901667,-102.963889,NAD83,Interpolated From Topo Map,+/- 1 Second,3962,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,193,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2401701&Type=GWDB
TWDB,2411302,Texas Water Development Board,2411302,33.833889,-102.654167,NAD83,Interpolated From Topo Map,+/- 1 Second,3679,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,105,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2411302&Type=GWDB
TWDB,2409501,Texas Water Development Board,2409501,33.831944,-102.933055,NAD83,Interpolated From Topo Map,+/- 1 Second,3886,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,217,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2409501&Type=GWDB
TWDB,2409103,Texas Water Development Board,2409103,33.857501,-102.978611,NAD83,Interpolated From Topo Map,+/- 1 Second,3929,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,219,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2409103&Type=GWDB
TWDB,948902,Texas Water Development Board,TWDB:0948902,34.2875,-103.033611,NAD83,Interpolated From Topo Map,+/- 1 Second,4058,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,272,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,1,Yes,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=0948902&Type=GWDB
TWDB,1049607,Texas Water Development Board,TWDB:1049607,34.182222,-102.891389,NAD83,Interpolated From Topo Map,+/- 1 Second,3897,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,226,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1049607&Type=GWDB
TWDB,1050104,Texas Water Development Board,TWDB:1050104,34.211112,-102.850556,NAD83,Interpolated From Topo Map,+/- 1 Second,3845,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,166,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050104&Type=GWDB
TWDB,1050602,Texas Water Development Board,TWDB:1050602,34.181389,-102.778889,NAD83,Interpolated From Topo Map,+/- 1 Second,3856,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,193,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1050602&Type=GWDB
TWDB,1057501,Texas Water Development Board,TWDB:1057501,34.068889,-102.936667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3922,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,60,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1057501&Type=GWDB
TWDB,1058901,Texas Water Development Board,TWDB:1058901,34.015001,-102.765001,NAD83,Interpolated From Topo Map,+/- 1 Second,3864,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,134,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1058901&Type=GWDB
TWDB,1059401,Texas Water Development Board,TWDB:1059401,34.045834,-102.746667,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3886,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,167,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1059401&Type=GWDB
TWDB,1059402,Texas Water Development Board,TWDB:1059402,34.079167,-102.714445,NAD83,Interpolated From Topo Map,+/- 1 Second,3932,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,213,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1059402&Type=GWDB
TWDB,1059601,Texas Water Development Board,TWDB:1059601,34.062501,-102.633055,NAD83,Interpolated From Topo Map,+/- 1 Second,3875,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,176,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation (121OGLL),WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,1,Dedicated Monitoring/Observation,https://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1059601&Type=GWDB
TWDB,1043708,Texas Water Development Board,1043708,34.256667,-102.723055,NAD83,Global Positioning System - GPS,+/- 0.5 Seconds - GPS,3806,1,Feet,NAVD88,Digital Elevation Model -DEM,3M,,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,1,Background,1,Surveillance,2,Other,https://www3.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=1043708&Type=GWDB
TWDB,1058502,Texas Water Development Board,Baileyboro Quad,34.070555,-102.829444,NAD83,GPS,+/- 0.5 Seconds,3899,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,151,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB
TWDB,1043501,Texas Water Development Board,"Carl Bamert  Grassland Farms, Inc.",34.297222,-102.689167,NAD83,GPS,+/- 1 Second,3834,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,318,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB
TWDB,1042904,Texas Water Development Board,Progress Quad,34.261667,-102.763056,NAD83,GPS,+/- 1 Second,3832,1,Feet,NAVD88,Interpolated From Topo Map,Unknown,221,1,Feet,N100HGHPLN,High Plains aquifer,US,United States of America,48,Texas,017,Bailey County,Ogallala Formation,WELL,UNCONFINED,0,No,0,No,TWDB GWDB,1,Yes,1,Yes,3,Known Changes,1,Surveillance,1,Dedicated Monitoring/Observation,http://www2.twdb.texas.gov/apps/waterdatainteractive//GetReports.aspx?Num=2461502&Type=GWDB
