site,slope_MK,slope_LR,slope_MK m/20y,slope_LR m/20y,trend_MK,trend_LR,trend_comparison,elevation,aquifer,state,county,lat,long
#441,-0.1830769230769233,-0.2402683178534571,-14.64615384615386,-19.22146542827657,Decreasing,Decreasing,,1125.02,High Plains aquifer,Colorado,Phillips County,40.476384,-102.200753
#449,-0.3099999999999999,-0.3245098039215686,-24.79999999999999,-25.96078431372549,Decreasing,Decreasing,,1157.02,High Plains aquifer,Colorado,Phillips County,40.443403,-102.373131
#451,-0.05874999999999986,-0.06389060887512901,-4.699999999999989,-5.111248710010321,Decreasing,Decreasing,,1186.28,High Plains aquifer,Colorado,Phillips County,40.512498,-102.475201
#457,-0.5912500000000005,-0.6188028895768833,-47.30000000000004,-49.50423116615067,Decreasing,Decreasing,,1100.63,High Plains aquifer,Colorado,Phillips County,40.613892,-102.100191
#461,-0.7153333333333332,-0.7024355005159959,-57.22666666666665,-56.19484004127968,Decreasing,Decreasing,,1120.44,High Plains aquifer,Colorado,Phillips County,40.585278,-102.195754
#477,-0.1726666666666664,-0.1774210526315789,-13.81333333333331,-14.19368421052631,Decreasing,Decreasing,,1236.57,High Plains aquifer,Colorado,Phillips County,40.579715,-102.626031
#478,-0.4015384615384615,-0.4159958720330235,-32.12307692307692,-33.27966976264188,Decreasing,Decreasing,,1099.41,High Plains aquifer,Colorado,Phillips County,40.628895,-102.075472
#479,-0.5077777777777778,-0.4827450980392158,-40.62222222222222,-38.61960784313727,Decreasing,Decreasing,,1098.5,High Plains aquifer,Colorado,Phillips County,40.617773,-102.084351
#481,-0.4463636363636361,-0.4570278637770897,-35.70909090909089,-36.56222910216718,Decreasing,Decreasing,,1103.99,High Plains aquifer,Colorado,Phillips County,40.624166,-102.110468
#483,-0.5162499999999999,-0.5207069143446853,-41.29999999999999,-41.65655314757483,Decreasing,Decreasing,,1125.32,High Plains aquifer,Colorado,Phillips County,40.616667,-102.210197
#486,-0.1,-0.117578947368421,-8.0,-9.406315789473682,Decreasing,Decreasing,,1200.0,High Plains aquifer,Colorado,Phillips County,40.690556,-102.513255
#487,-0.2107692307692304,-0.1990877192982456,-16.86153846153843,-15.92701754385964,Decreasing,Decreasing,,1188.42,High Plains aquifer,Colorado,Phillips County,40.683048,-102.451022
#490,-0.1328571428571428,-0.1762807017543859,-10.62857142857142,-14.10245614035087,Decreasing,Decreasing,,1229.87,High Plains aquifer,Colorado,Phillips County,40.624157,-102.637137
#496,-0.08714285714285706,-0.09231578947368425,-6.971428571428565,-7.38526315789474,Decreasing,Decreasing,,1185.37,High Plains aquifer,Colorado,Phillips County,40.737221,-102.424089
#498,-0.1609090909090918,-0.1496078431372549,-12.87272727272735,-11.9686274509804,Decreasing,Decreasing,,1240.54,High Plains aquifer,Colorado,Phillips County,40.745547,-102.635384
#499,-0.1222222222222224,-0.1170691434468524,-9.777777777777791,-9.365531475748192,Decreasing,Decreasing,,1225.91,High Plains aquifer,Colorado,Phillips County,40.746668,-102.60326
#514,-0.125,-0.09955624355005137,-10.0,-7.96449948400411,Decreasing,Decreasing,,1255.47,High Plains aquifer,Colorado,Logan County,40.767589,-102.673936
#565,-0.2571428571428577,-0.2707017543859649,-20.57142857142862,-21.65614035087719,Decreasing,Decreasing,,1157.02,High Plains aquifer,Colorado,Yuma County,40.435786,-102.373263
#566,-0.2627272727272728,-0.2875954592363261,-21.01818181818182,-23.00763673890609,Decreasing,Decreasing,,1163.42,High Plains aquifer,Colorado,Yuma County,40.428611,-102.392143
#673,-0.1349999999999998,-0.1345923632610938,-10.79999999999998,-10.76738906088751,Decreasing,Decreasing,,1222.55,High Plains aquifer,Colorado,Yuma County,39.817088,-102.463818
#675,-0.1079999999999999,-0.105438596491228,-8.639999999999995,-8.43508771929824,Decreasing,Decreasing,,1270.71,High Plains aquifer,Colorado,Yuma County,39.787623,-102.608902
#689,-0.6699999999999997,-0.6976573787409701,-53.59999999999998,-55.81259029927761,Decreasing,Decreasing,,1251.51,High Plains aquifer,Colorado,Yuma County,39.667588,-102.434979
#691,0.04666666666666671,0.04854385964912279,3.733333333333337,3.883508771929823,No trend,Increasing,Different,1269.19,High Plains aquifer,Colorado,Yuma County,39.713526,-102.673954
#692,-0.5769230769230769,-0.6635964912280701,-46.15384615384615,-53.0877192982456,Decreasing,Decreasing,,1296.31,High Plains aquifer,Colorado,Yuma County,39.688611,-102.673832
#696,-0.67625,-0.6719473684210528,-54.1,-53.75578947368423,Decreasing,Decreasing,,1310.94,High Plains aquifer,Colorado,Yuma County,39.661941,-102.712167
#698,0.03999999999999997,0.04466666666666665,3.199999999999998,3.573333333333332,No trend,Increasing,Different,1342.03,High Plains aquifer,Colorado,Washington County,39.662232,-102.846041
#699,-0.1721428571428572,-0.1720877192982457,-13.77142857142857,-13.76701754385965,Decreasing,Decreasing,,1411.83,High Plains aquifer,Colorado,Washington County,39.659954,-103.021792
#700,-0.02000000000000017,-0.02670175438596491,-1.600000000000013,-2.136140350877193,Decreasing,Decreasing,,1375.26,High Plains aquifer,Colorado,Washington County,39.65542,-102.935229
#705,-0.161875,-0.1948297213622291,-12.95,-15.58637770897833,Decreasing,Decreasing,,1110.69,High Plains aquifer,Colorado,Yuma County,39.584921,-102.104208
#714,-0.1546666666666666,-0.1624561403508772,-12.37333333333333,-12.99649122807017,Decreasing,Decreasing,,1163.12,High Plains aquifer,Colorado,Yuma County,39.595552,-102.340758
#718,-0.5691666666666665,-0.5890402476780184,-45.53333333333332,-47.12321981424147,Decreasing,Decreasing,,1247.55,High Plains aquifer,Colorado,Yuma County,39.610555,-102.464412
#719,-0.6213333333333334,-0.6599999999999999,-49.70666666666667,-52.8,Decreasing,Decreasing,,1258.82,High Plains aquifer,Colorado,Yuma County,39.581923,-102.536449
#721,-0.64,-0.6847574819401445,-51.2,-54.78059855521156,Decreasing,Decreasing,,1271.63,High Plains aquifer,Colorado,Yuma County,39.646728,-102.587732
#725,-0.3858333333333335,-0.4025386996904024,-30.86666666666668,-32.20309597523219,Decreasing,Decreasing,,1289.61,High Plains aquifer,Colorado,Yuma County,39.622556,-102.625255
#726,-0.7185714285714287,-0.7423219814241485,-57.4857142857143,-59.38575851393188,Decreasing,Decreasing,,1303.32,High Plains aquifer,Colorado,Yuma County,39.612005,-102.662446
#727,-0.5983771929824566,-0.5076165413533836,-47.87017543859653,-40.60932330827069,Decreasing,Decreasing,,1304.24,High Plains aquifer,Colorado,Yuma County,39.572138,-102.663555
#728,-0.3806249999999998,-0.3819298245614035,-30.44999999999998,-30.55438596491228,Decreasing,Decreasing,,1279.86,High Plains aquifer,Colorado,Yuma County,39.58341,-102.584958
#730,-0.3485714285714283,-0.3681228070175439,-27.88571428571426,-29.44982456140351,Decreasing,Decreasing,,1327.1,High Plains aquifer,Colorado,Yuma County,39.643885,-102.758268
#732,-0.4111538461538462,-0.4616015037593986,-32.8923076923077,-36.92812030075189,Decreasing,Decreasing,,1320.09,High Plains aquifer,Colorado,Yuma County,39.622771,-102.731049
#733,-0.3330769230769235,-0.3517956656346751,-26.64615384615388,-28.14365325077401,Decreasing,Decreasing,,1333.8,High Plains aquifer,Colorado,Yuma County,39.608038,-102.759646
#734,-0.5085714285714287,-0.5376315789473685,-40.6857142857143,-43.01052631578948,Decreasing,Decreasing,,1326.18,High Plains aquifer,Colorado,Yuma County,39.586343,-102.721619
#735,-0.182857142857143,-0.1704561403508772,-14.62857142857144,-13.63649122807018,Decreasing,Decreasing,,1343.25,High Plains aquifer,Colorado,Washington County,39.643205,-102.807092
#736,-0.1974999999999998,-0.2376470588235294,-15.79999999999998,-19.01176470588236,Decreasing,Decreasing,,1354.53,High Plains aquifer,Colorado,Washington County,39.654622,-102.86179
#737,-0.09571428571428583,-0.09320300751879702,-7.657142857142867,-7.456240601503762,Decreasing,Decreasing,,1361.85,High Plains aquifer,Colorado,Washington County,39.629816,-102.858651
#739,-0.03000000000000001,-0.03128070175438595,-2.4,-2.502456140350876,Decreasing,Decreasing,,1387.14,High Plains aquifer,Colorado,Washington County,39.645781,-102.963696
#740,-0.0630769230769231,-0.06705263157894739,-5.046153846153848,-5.364210526315791,Decreasing,Decreasing,,1397.81,High Plains aquifer,Colorado,Washington County,39.627481,-102.992181
#741,-0.1840000000000003,-0.1852105263157895,-14.72000000000003,-14.81684210526316,Decreasing,Decreasing,,1410.0,High Plains aquifer,Colorado,Washington County,39.60017,-102.94244
#747,0.1,0.09166150670794637,8.000000000000002,7.33292053663571,Increasing,Increasing,,1167.99,High Plains aquifer,Colorado,Kit Carson County,39.570612,-102.360313
#749,-0.1699999999999999,-0.1957172342621259,-13.59999999999999,-15.65737874097007,Decreasing,Decreasing,,1204.57,High Plains aquifer,Colorado,Kit Carson County,39.530703,-102.466726
#752,-0.5849999999999991,-0.6125614035087718,-46.79999999999993,-49.00491228070174,Decreasing,Decreasing,,1278.94,High Plains aquifer,Colorado,Kit Carson County,39.526448,-102.594565
#811,-0.2700000000000001,-0.2630650154798764,-21.6,-21.04520123839011,Decreasing,Decreasing,,1251.81,High Plains aquifer,Colorado,Kit Carson County,39.460002,-102.370205
#815,0.06400000000000006,0.08582043343653262,5.120000000000005,6.865634674922609,No trend,Increasing,Different,1252.42,High Plains aquifer,Colorado,Kit Carson County,39.41639,-102.343262
#817,-0.3233333333333335,-0.3223735810113518,-25.86666666666668,-25.78988648090814,Decreasing,Decreasing,,1247.55,High Plains aquifer,Colorado,Kit Carson County,39.47139,-102.383817
#818,-0.2350000000000012,-0.2282868937048507,-18.8000000000001,-18.26295149638806,Decreasing,Decreasing,,1273.76,High Plains aquifer,Colorado,Kit Carson County,39.475271,-102.453531
#819,-0.3639999999999987,-0.3586996904024768,-29.11999999999989,-28.69597523219814,Decreasing,Decreasing,,1279.25,High Plains aquifer,Colorado,Kit Carson County,39.442778,-102.421314
#821,-0.8500000000000014,-0.7433333333333336,-68.00000000000011,-59.46666666666669,Decreasing,Decreasing,,1264.62,High Plains aquifer,Colorado,Kit Carson County,39.424169,-102.407701
#822,0.04599999999999985,0.06257997936016509,3.679999999999988,5.006398348813207,No trend,Increasing,Different,1285.34,High Plains aquifer,Colorado,Kit Carson County,39.403053,-102.445202
#824,0.4883333333333345,0.5311145510835915,39.06666666666676,42.48916408668732,Increasing,Increasing,,1302.11,High Plains aquifer,Colorado,Kit Carson County,39.4025,-102.521597
#850,0.1727272727272733,0.2233539731682145,13.81818181818186,17.86831785345716,No trend,Increasing,Different,1283.21,High Plains aquifer,Colorado,Kit Carson County,39.334173,-102.35465
#860,-0.006000000000000227,0.005376676986583925,-0.4800000000000182,0.430134158926714,No trend,No trend,,1333.2,High Plains aquifer,Colorado,Kit Carson County,39.316112,-102.562993
#911,-0.1155882352941176,-0.4492781954887219,-9.247058823529409,-35.94225563909775,Decreasing,Decreasing,,1316.74,High Plains aquifer,Colorado,Kit Carson County,39.156392,-102.351593
#927,-0.1136111111111112,-0.1155977443609026,-9.088888888888896,-9.247819548872204,Decreasing,Decreasing,,1262.48,High Plains aquifer,Colorado,Kit Carson County,39.098617,-102.241029
#956,-0.3100000000000023,-0.3067543859649123,-24.80000000000018,-24.54035087719298,Decreasing,Decreasing,,1144.83,High Plains aquifer,Colorado,Prowers County,38.253813,-102.066942
#957,-0.1166666666666663,-0.1176315789473683,-9.333333333333307,-9.410526315789467,Decreasing,Decreasing,,1151.53,High Plains aquifer,Colorado,Prowers County,38.263685,-102.115235
#958,0.07090909090909037,0.06005263157894735,5.672727272727229,4.804210526315788,No trend,Increasing,Different,1166.47,High Plains aquifer,Colorado,Prowers County,38.248246,-102.192235
#959,-0.09352941176470608,-0.101561403508772,-7.482352941176487,-8.124912280701759,Decreasing,Decreasing,,1140.56,High Plains aquifer,Colorado,Prowers County,38.205632,-102.083092
#960,0.002499999999999503,-0.01671929824561398,0.1999999999999602,-1.337543859649118,No trend,No trend,,1117.4,High Plains aquifer,Colorado,Prowers County,38.180795,-102.160344
#962,-0.1360000000000002,-0.1519298245614036,-10.88000000000001,-12.15438596491228,No trend,Decreasing,Different,1174.09,High Plains aquifer,Colorado,Prowers County,38.246074,-102.254095
#965,0.02749999999999986,0.008105263157894744,2.199999999999989,0.6484210526315795,Increasing,No trend,Different,1143.91,High Plains aquifer,Colorado,Prowers County,38.216574,-102.210652
#966,-0.01249999999999973,-0.0384912280701754,-0.9999999999999787,-3.079298245614032,No trend,Decreasing,Different,1106.42,High Plains aquifer,Colorado,Prowers County,38.16863,-102.115771
#978,0.5727272727272728,0.5758245614035088,45.81818181818182,46.06596491228071,Increasing,Increasing,,1224.38,High Plains aquifer,Colorado,Kiowa County,38.325756,-102.315698
#979,0.2100000000000009,0.2267543859649123,16.80000000000007,18.14035087719299,Increasing,Increasing,,1184.76,High Plains aquifer,Colorado,Kiowa County,38.279665,-102.301258
#980,0.0139999999999997,0.01543859649122808,1.119999999999976,1.235087719298246,Increasing,No trend,Different,1200.0,High Plains aquifer,Colorado,Kiowa County,38.52939,-102.069242
#370217101593801,-0.3398319327731087,-0.3365112781954887,-27.1865546218487,-26.92090225563909,Decreasing,Decreasing,,1083.26,High Plains aquifer,Kansas,Morton County,37.035692,-101.994048
#370322101443201,-0.09923076923076998,-0.07719548872180444,-7.938461538461599,-6.175639097744355,Decreasing,Decreasing,,1040.59,High Plains aquifer,Kansas,Morton County,37.054575,-101.74224
#370352101055301,-1.545098039215687,-1.539417293233083,-123.6078431372549,-123.1533834586466,Decreasing,Decreasing,,907.39,High Plains aquifer,Kansas,Stevens County,37.061856,-101.094843
#370758101272501,-1.22375,-1.234462406015038,-97.89999999999999,-98.756992481203,Decreasing,Decreasing,,975.97,High Plains aquifer,Kansas,Stevens County,37.132956,-101.457237
#370958101055501,-1.577727272727273,-1.538447368421053,-126.2181818181818,-123.0757894736842,Decreasing,Decreasing,,904.65,High Plains aquifer,Kansas,Stevens County,37.162395,-101.103341
#371026101020701,-1.880000000000001,-1.89906015037594,-150.4000000000001,-151.9248120300752,Decreasing,Decreasing,,888.19,High Plains aquifer,Kansas,Seward County,37.170645,-101.040043
#371237100455301,-0.5549999999999997,-0.5751804511278196,-44.39999999999998,-46.01443609022557,Decreasing,Decreasing,,850.39,High Plains aquifer,Kansas,Seward County,37.209601,-100.765435
#371306100554201,-0.5315555555555556,-0.5465563909774438,-42.52444444444444,-43.72451127819551,Decreasing,Decreasing,,859.84,High Plains aquifer,Kansas,Seward County,37.21744,-100.92774
#371615100463702,-0.6605555555555565,-0.6660300751879702,-52.84444444444452,-53.28240601503762,Decreasing,Decreasing,,862.58,High Plains aquifer,Kansas,Seward County,37.2712,-100.778535
#371621101082602,-0.5531666666666673,-0.552093984962406,-44.25333333333338,-44.16751879699248,Decreasing,Decreasing,,917.45,High Plains aquifer,Kansas,Stevens County,37.271894,-101.140438
#371641101254101,-0.9396666666666668,-0.9493458646616544,-75.17333333333335,-75.94766917293235,Decreasing,Decreasing,,967.74,High Plains aquifer,Kansas,Stevens County,37.278774,-101.428936
#371713101125601,-1.115312499999999,-1.108462406015038,-89.22499999999992,-88.67699248120302,Decreasing,Decreasing,,932.69,High Plains aquifer,Kansas,Stevens County,37.287044,-101.216537
#371907100481601,-0.6604166666666664,-0.6560423116615066,-52.83333333333331,-52.48338493292053,Decreasing,Decreasing,,869.9,High Plains aquifer,Kansas,Seward County,37.31915,-100.80714
#371916101031901,-0.5061538461538461,-0.4957585139318886,-40.49230769230768,-39.66068111455109,Decreasing,Decreasing,,897.94,High Plains aquifer,Kansas,Seward County,37.322024,-101.056622
#372117101280901,-0.323333333333333,-0.3141052631578946,-25.86666666666664,-25.12842105263157,Decreasing,Decreasing,,963.78,High Plains aquifer,Kansas,Stevens County,37.354573,-101.47047
#372214101211701,-1.050801282051282,-1.040763157894737,-84.06410256410254,-83.26105263157896,Decreasing,Decreasing,,945.49,High Plains aquifer,Kansas,Stevens County,37.370003,-101.35754
#372236101324601,-0.5045588235294118,-0.5035902255639098,-40.36470588235295,-40.28721804511278,Decreasing,Decreasing,,972.01,High Plains aquifer,Kansas,Stevens County,37.37554,-101.54714
#372306100446001,-0.5500000000000078,-0.5612142857142857,-44.00000000000063,-44.89714285714285,Decreasing,Decreasing,,862.58,High Plains aquifer,Kansas,Seward County,37.384842,-100.751436
#372405100473901,-0.6891666666666662,-0.7141654135338348,-55.13333333333329,-57.13323308270678,Decreasing,Decreasing,,868.07,High Plains aquifer,Kansas,Haskell County,37.402053,-100.794388
#372510101455601,-0.05649999999999977,-0.0430225563909774,-4.519999999999982,-3.441804511278192,Decreasing,Decreasing,,1025.65,High Plains aquifer,Kansas,Stanton County,37.4211,-101.766847
#372616101213801,-0.6843750000000011,-0.6733233082706765,-54.75000000000009,-53.86586466165412,Decreasing,Decreasing,,944.88,High Plains aquifer,Kansas,Grant County,37.437383,-101.360243
#372802100104801,-0.9724047619047621,-1.007755639097744,-77.79238095238097,-80.62045112781956,Decreasing,Decreasing,,769.62,High Plains aquifer,Kansas,Meade County,37.467123,-100.180018
#372841099401201,-0.125,-0.1315338345864661,-10.0,-10.52270676691729,Decreasing,Decreasing,,745.24,High Plains aquifer,Kansas,Ford County,37.478302,-99.670152
#373005099381801,-0.1399999999999983,-0.1371052631578946,-11.19999999999986,-10.96842105263157,Decreasing,Decreasing,,745.24,High Plains aquifer,Kansas,Ford County,37.500851,-99.638581
#373054100354402,-1.051666666666665,-1.021413533834587,-84.13333333333324,-81.71308270676693,Decreasing,Decreasing,,858.01,High Plains aquifer,Kansas,Gray County,37.514304,-100.597732
#373113101462601,-0.2050000000000003,-0.2344912280701758,-16.40000000000003,-18.75929824561406,Decreasing,Decreasing,,1027.79,High Plains aquifer,Kansas,Stanton County,37.519543,-101.774182
#373127099540701,-0.1007941176470585,-0.09160526315789483,-8.063529411764684,-7.328421052631587,Decreasing,Decreasing,,771.14,High Plains aquifer,Kansas,Ford County,37.524441,-99.90228
#373202099071801,-0.1053846153846155,-0.08080495356037157,-8.430769230769236,-6.464396284829725,Decreasing,Decreasing,,640.08,High Plains aquifer,Kansas,Kiowa County,37.535377,-99.123027
#373209100035801,-0.851666666666667,-0.8834887218045114,-68.13333333333335,-70.67909774436092,Decreasing,Decreasing,,861.06,High Plains aquifer,Kansas,Gray County,37.534144,-100.634133
#373222100432601,-1.096666666666664,-1.089087719298246,-87.73333333333312,-87.12701754385964,Decreasing,Decreasing,,873.86,High Plains aquifer,Kansas,Haskell County,37.538844,-100.725186
#373231098480401,-0.02615384615384614,-0.02529879243563454,-2.092307692307692,-2.023903394850763,Decreasing,Decreasing,,606.25,High Plains aquifer,Kansas,Pratt County,37.5428,-98.803
#373231100025401,-0.2711363636363635,-0.2777518796992483,-21.69090909090908,-22.22015037593987,Decreasing,Decreasing,,797.66,High Plains aquifer,Kansas,Ford County,37.54525,-100.05231
#373233098411501,-0.02800000000000001,-0.02661695146958305,-2.240000000000001,-2.129356117566644,Decreasing,Decreasing,,579.12,High Plains aquifer,Kansas,Pratt County,37.54345,-98.69195
#373331101442101,-0.3328333333333343,-0.3902142857142857,-26.62666666666674,-31.21714285714286,Decreasing,Decreasing,,1013.46,High Plains aquifer,Kansas,Stanton County,37.55567,-101.74242
#373341099062501,-0.1283333333333333,-0.1273529411764706,-10.26666666666666,-10.18823529411764,Decreasing,Decreasing,,643.13,High Plains aquifer,Kansas,Kiowa County,37.560556,-99.109154
#373358099550801,-0.2177777777777775,-0.2230150375939849,-17.4222222222222,-17.84120300751879,Decreasing,Decreasing,,770.53,High Plains aquifer,Kansas,Ford County,37.566371,-99.91953
#373433101320202,-0.3916666666666681,-0.3942105263157895,-31.33333333333345,-31.53684210526316,Decreasing,Decreasing,,958.6,High Plains aquifer,Kansas,Stanton County,37.575149,-101.534447
#373510099335801,-0.1380555555555557,-0.1259962406015038,-11.04444444444446,-10.0796992481203,Decreasing,Decreasing,,720.85,High Plains aquifer,Kansas,Ford County,37.5861,-99.566529
#373528099553501,-0.2466666666666661,-0.2435877192982457,-19.73333333333329,-19.48701754385965,Decreasing,Decreasing,,772.36,High Plains aquifer,Kansas,Ford County,37.591441,-99.93493
#373529098330001,-0.105718954248366,-0.09410902255639093,-8.45751633986928,-7.528721804511274,Decreasing,Decreasing,,560.83,High Plains aquifer,Kansas,Pratt County,37.59077,-98.551944
#373607100565301,-0.5964852941176473,-0.5952218045112786,-47.71882352941178,-47.61774436090229,Decreasing,Decreasing,,907.08,High Plains aquifer,Kansas,Haskell County,37.598744,-100.949744
#373701101175001,-0.2843181818181821,-0.2944060150375942,-22.74545454545457,-23.55248120300753,Decreasing,Decreasing,,929.64,High Plains aquifer,Kansas,Grant County,37.61747,-101.299448
#373702099525701,-0.25,-0.2520864661654135,-20.0,-20.16691729323308,Decreasing,Decreasing,,776.33,High Plains aquifer,Kansas,Ford County,37.617351,-99.882989
#373748101205501,-0.3060416666666667,-0.3270375939849625,-24.48333333333333,-26.163007518797,Decreasing,Decreasing,,935.13,High Plains aquifer,Kansas,Grant County,37.6302,-101.349828
#374014100284601,-1.694,-1.595964912280702,-135.52,-127.6771929824561,Decreasing,Decreasing,,841.25,High Plains aquifer,Kansas,Gray County,37.671373,-100.483728
#374136101020902,-1.066654411764706,-1.065759398496241,-85.33235294117648,-85.26075187969924,Decreasing,Decreasing,,912.88,High Plains aquifer,Kansas,Haskell County,37.693003,-101.036047
#374323098500101,-0.0811111111111111,-0.09509774436090225,-6.488888888888889,-7.60781954887218,Decreasing,Decreasing,,608.08,High Plains aquifer,Kansas,Pratt County,37.722798,-98.834354
#374347098554501,-0.1107142857142857,-0.1212631578947368,-8.857142857142854,-9.701052631578946,Decreasing,Decreasing,,620.57,High Plains aquifer,Kansas,Pratt County,37.729494,-98.930977
#374358098203301,-0.001830143540669841,-0.001976327181590343,-0.1464114832535873,-0.1581061745272274,No trend,No trend,,528.83,High Plains aquifer,Kansas,Reno County,37.732746,-98.346824
#374544101103701,-0.7466666666666673,-0.7804924812030076,-59.73333333333338,-62.43939849624061,Decreasing,Decreasing,,932.69,High Plains aquifer,Kansas,Kearny County,37.76175,-101.176949
#374638101203801,-0.8950000000000007,-0.876932330827068,-71.60000000000005,-70.15458646616544,Decreasing,Decreasing,,950.98,High Plains aquifer,Kansas,Kearny County,37.775867,-101.340749
#374653099070201,-0.1430952380952381,-0.1450601503759399,-11.44761904761905,-11.60481203007519,Decreasing,Decreasing,,637.64,High Plains aquifer,Kansas,Edwards County,37.78065,-99.11844
#374658099244302,-0.1199999999999999,-0.1142414860681115,-9.59999999999999,-9.139318885448919,Decreasing,Decreasing,,680.92,High Plains aquifer,Kansas,Edwards County,37.7902,-99.413911
#374717098593501,-0.09257575757575756,-0.09651879699248121,-7.406060606060604,-7.721503759398497,Decreasing,Decreasing,,624.84,High Plains aquifer,Kansas,Pratt County,37.787333,-98.995455
#374747100552101,-1.805624999999999,-1.756556390977444,-144.45,-140.5245112781955,Decreasing,Decreasing,,880.87,High Plains aquifer,Kansas,Finney County,37.794924,-100.922543
