site,slope_MK,slope_LR,slope_MK m/20y,slope_LR m/20y,trend_MK,trend_LR,trend_comparison,elevation,aquifer,state,county,lat,long
#1007301,-0.03724999999999969,-0.03439849624060163,-2.979999999999976,-2.75187969924813,Decreasing,Decreasing,,1153.67,High Plains aquifer,Texas,Randall County,34.99,-102.148334
#1007501,-0.08249999999999957,-0.08181818181818176,-6.599999999999966,-6.545454545454541,Decreasing,Decreasing,,1158.85,High Plains aquifer,Texas,Deaf Smith County,34.94,-102.199722
#1007601,-0.0734848484848484,-0.07771428571428571,-5.878787878787872,-6.217142857142857,Decreasing,Decreasing,,1150.32,High Plains aquifer,Texas,Randall County,34.93,-102.148611
#1007701,0.04114379084967354,0.0496090225563911,3.291503267973883,3.968721804511288,Increasing,Increasing,,1150.92,High Plains aquifer,Texas,Deaf Smith County,34.89,-102.240556
#1007805,-0.06785714285714255,-0.06678947368421055,-5.428571428571404,-5.343157894736844,Decreasing,Decreasing,,1156.41,High Plains aquifer,Texas,Deaf Smith County,34.91,-102.198056
#1008,0.1733333333333336,0.2183384932920539,13.86666666666669,17.46707946336431,No trend,Increasing,Different,1241.45,High Plains aquifer,Colorado,Cheyenne County,38.780848,-102.197698
#1008102,0.03178571428571431,0.03772932330827072,2.542857142857144,3.018345864661657,Increasing,Increasing,,1145.74,High Plains aquifer,Texas,Randall County,34.988889,-102.096667
#1008133,0.1150000000000008,0.1200000000000003,9.200000000000063,9.600000000000023,No trend,Increasing,Different,1148.49,High Plains aquifer,Texas,Randall County,34.965278,-102.090834
#1008230,-0.03999999999999915,-0.0387017543859647,-3.199999999999932,-3.096140350877176,Decreasing,Decreasing,,1133.86,High Plains aquifer,Texas,Randall County,34.985278,-102.048611
#1008405,-0.04562200956937792,-0.04409774436090209,-3.649760765550234,-3.527819548872167,Decreasing,Decreasing,,1148.49,High Plains aquifer,Texas,Randall County,34.95,-102.113612
#1008417,-0.01618181818181818,-0.01457894736842102,-1.294545454545454,-1.166315789473682,Decreasing,No trend,Different,1143.61,High Plains aquifer,Texas,Randall County,34.920278,-102.110556
#1009,0.3560714285714288,0.337622549019608,28.48571428571431,27.00980392156864,Increasing,Increasing,,1338.99,High Plains aquifer,Colorado,Cheyenne County,38.782506,-102.456301
#1009101,-0.01125000000000043,-0.001042311661506633,-0.9000000000000341,-0.08338493292053062,No trend,No trend,,1337.46,High Plains aquifer,Texas,Deaf Smith County,34.87,-102.9730556
#1009401,-0.0400000000000027,-0.0188571428571429,-3.200000000000216,-1.508571428571432,No trend,No trend,,1322.53,High Plains aquifer,Texas,Deaf Smith County,34.815556,-102.989722
#1009601,-0.2512499999999998,-0.2608333333333333,-20.09999999999998,-20.86666666666666,Decreasing,Decreasing,,1283.82,High Plains aquifer,Texas,Deaf Smith County,34.82,-102.9030556
#1009701,-0.03757142857142856,-0.03708333333333346,-3.005714285714285,-2.966666666666677,Decreasing,Decreasing,,1307.9,High Plains aquifer,Texas,Deaf Smith County,34.78,-102.963056
#1009801,-0.01278846153846156,-0.01088235294117647,-1.023076923076925,-0.8705882352941174,Decreasing,No trend,Different,1282.6,High Plains aquifer,Texas,Deaf Smith County,34.77,-102.919722
#1010,0.4750961538461537,0.5237254901960786,38.0076923076923,41.89803921568629,Increasing,Increasing,,1239.93,High Plains aquifer,Colorado,Cheyenne County,38.686956,-102.160738
#1010101,0.008952380952380625,-0.04897058823529416,0.7161904761904501,-3.917647058823533,No trend,Decreasing,Different,1279.25,High Plains aquifer,Texas,Deaf Smith County,34.86,-102.8577778
#1010301,0.00999999999999801,0.04664285714285707,0.7999999999998408,3.731428571428566,No trend,Increasing,Different,1247.85,High Plains aquifer,Texas,Deaf Smith County,34.8341667,-102.7655556
#1010601,0.1566666666666663,0.1581754385964912,12.5333333333333,12.6540350877193,Increasing,Increasing,,1234.74,High Plains aquifer,Texas,Deaf Smith County,34.8,-102.752501
#1010701,0.03500000000000014,0.04083458646616548,2.800000000000011,3.266766917293238,Increasing,Increasing,,1251.51,High Plains aquifer,Texas,Deaf Smith County,34.79,-102.846389
#1010702,0.1458333333333357,0.145,11.66666666666686,11.6,Increasing,Increasing,,1251.2,High Plains aquifer,Texas,Deaf Smith County,34.756945,-102.858056
#1011404,-0.05464102564102541,-0.05435338345864655,-4.371282051282033,-4.348270676691724,Decreasing,Decreasing,,1230.48,High Plains aquifer,Texas,Deaf Smith County,34.793611,-102.708612
#1011802,-0.06333333333333258,-0.06224561403508782,-5.066666666666606,-4.979649122807025,Decreasing,Decreasing,,1226.52,High Plains aquifer,Texas,Deaf Smith County,34.76,-102.691111
#1012,-0.1758333333333333,-0.1689164086687307,-14.06666666666666,-13.51331269349845,Decreasing,Decreasing,,1132.03,High Plains aquifer,Colorado,Sedgwick County,40.796391,-102.218254
#1012105,-0.07499999999999929,-0.0775980392156863,-5.999999999999943,-6.207843137254904,Decreasing,Decreasing,,1206.4,High Plains aquifer,Texas,Deaf Smith County,34.847778,-102.599167
#1012203,-0.08900000000000005,-0.08452631578947375,-7.120000000000005,-6.762105263157901,Decreasing,Decreasing,,1195.43,High Plains aquifer,Texas,Deaf Smith County,34.87,-102.573889
#1012302,-0.3073333333333333,-0.3155263157894737,-24.58666666666666,-25.2421052631579,Decreasing,Decreasing,,1188.42,High Plains aquifer,Texas,Deaf Smith County,34.85,-102.506112
#1012404,-0.08985714285714275,-0.0918345864661654,-7.18857142857142,-7.346766917293231,Decreasing,Decreasing,,1203.35,High Plains aquifer,Texas,Deaf Smith County,34.81,-102.602501
#1012504,-0.689090909090909,-0.6915614035087719,-55.12727272727272,-55.32491228070175,Decreasing,Decreasing,,1198.47,High Plains aquifer,Texas,Deaf Smith County,34.82,-102.546667
#1012703,-0.2007692307692313,-0.1967595459236327,-16.0615384615385,-15.74076367389062,Decreasing,Decreasing,,1204.26,High Plains aquifer,Texas,Deaf Smith County,34.77,-102.605834
#1013104,-0.4872222222222197,-0.4822330827067669,-38.97777777777758,-38.57864661654135,Decreasing,Decreasing,,1189.02,High Plains aquifer,Texas,Deaf Smith County,34.87,-102.477778
#1013305,-0.5844034090909092,-0.5528120300751882,-46.75227272727273,-44.22496240601505,Decreasing,Decreasing,,1168.6,High Plains aquifer,Texas,Deaf Smith County,34.87,-102.404445
#1013307,-0.6000000000000045,-0.5842105263157894,-48.00000000000036,-46.73684210526315,Decreasing,Decreasing,,1167.38,High Plains aquifer,Texas,Deaf Smith County,34.8475,-102.404445
#1013404,-0.3367532467532469,-0.3421278195488723,-26.94025974025975,-27.37022556390979,Decreasing,Decreasing,,1182.01,High Plains aquifer,Texas,Deaf Smith County,34.79,-102.471667
#1013405,-0.2157142857142844,-0.2004334365325075,-17.25714285714275,-16.0346749226006,Decreasing,Decreasing,,1183.84,High Plains aquifer,Texas,Deaf Smith County,34.82,-102.496111
#1013806,-0.4196153846153856,-0.4224661654135339,-33.56923076923085,-33.79729323308271,Decreasing,Decreasing,,1178.36,High Plains aquifer,Texas,Deaf Smith County,34.78,-102.445834
#1013910,-0.3699999999999903,-0.3532631578947368,-29.59999999999923,-28.26105263157895,Decreasing,Decreasing,,1173.78,High Plains aquifer,Texas,Deaf Smith County,34.76,-102.388334
#1014,-0.1510000000000007,-0.1601278195488723,-12.08000000000006,-12.81022556390979,Decreasing,Decreasing,,1240.54,High Plains aquifer,Colorado,Phillips County,40.65333,-102.660205
#1014206,-0.1315263157894735,-0.1319323308270676,-10.52210526315788,-10.55458646616541,Decreasing,Decreasing,,1150.62,High Plains aquifer,Texas,Deaf Smith County,34.871667,-102.303612
#1014207,-0.1059999999999999,-0.09387719298245618,-8.47999999999999,-7.510175438596495,Decreasing,Decreasing,,1146.66,High Plains aquifer,Texas,Deaf Smith County,34.85,-102.295278
#1014405,-0.08333333333333333,-0.0831353383458647,-6.666666666666666,-6.650827067669177,Decreasing,Decreasing,,1158.85,High Plains aquifer,Texas,Deaf Smith County,34.81,-102.345278
#1014513,0.002182539682539572,0.002195488721804497,0.1746031746031658,0.1756390977443597,No trend,No trend,,1163.73,High Plains aquifer,Texas,Deaf Smith County,34.79,-102.293056
#1014704,-0.04763888888888859,-0.0472932330827068,-3.811111111111087,-3.783458646616544,Decreasing,Decreasing,,1170.74,High Plains aquifer,Texas,Deaf Smith County,34.78,-102.334167
#1014706,-0.3591666666666669,-0.3601031991744068,-28.73333333333335,-28.80825593395254,Decreasing,Decreasing,,1173.78,High Plains aquifer,Texas,Deaf Smith County,34.77,-102.361945
#1014901,0.01816666666666649,0.02014285714285703,1.453333333333319,1.611428571428563,Increasing,No trend,Different,1169.82,High Plains aquifer,Texas,Deaf Smith County,34.777222,-102.282222
#1016,-0.2869230769230767,-0.2948947368421052,-22.95384615384613,-23.59157894736842,Decreasing,Decreasing,,1268.58,High Plains aquifer,Colorado,Kit Carson County,39.128064,-102.249642
#1016301,0.01392857142857136,-0.0005882352941176693,1.114285714285709,-0.04705882352941355,No trend,No trend,,1163.73,High Plains aquifer,Texas,Randall County,34.84,-102.0258333
#1017,-0.1188888888888889,-0.101702786377709,-9.511111111111113,-8.136222910216723,Decreasing,Decreasing,,1274.98,High Plains aquifer,Colorado,Kit Carson County,39.156672,-102.164915
#1017501,-0.07499999999999987,-0.07516541353383464,-5.999999999999989,-6.013233082706772,Decreasing,Decreasing,,1314.3,High Plains aquifer,Texas,Parmer County,34.71,-102.949167
#1017602,-0.1265151515151508,-0.1258496240601504,-10.12121212121206,-10.06796992481203,Decreasing,Decreasing,,1268.58,High Plains aquifer,Texas,Parmer County,34.68,-102.896945
#1017804,-0.4129999999999995,-0.4168181818181819,-33.03999999999996,-33.34545454545455,Decreasing,Decreasing,,1294.49,High Plains aquifer,Texas,Parmer County,34.66,-102.954167
#1018,-0.2842857142857143,-0.2898345864661654,-22.74285714285714,-23.18676691729323,Decreasing,Decreasing,,1277.72,High Plains aquifer,Colorado,Kit Carson County,39.218063,-102.24048
#1018204,0.06000000000000024,0.06535338345864654,4.800000000000019,5.228270676691723,Increasing,Increasing,,1270.41,High Plains aquifer,Texas,Parmer County,34.7275,-102.82
#1018302,0.09225000000000047,0.09411278195488723,7.380000000000038,7.529022556390979,Increasing,Increasing,,1241.45,High Plains aquifer,Texas,Parmer County,34.745,-102.761112
#1018504,0.02464285714285605,0.02399248120300768,1.971428571428484,1.919398496240614,Increasing,No trend,Different,1259.43,High Plains aquifer,Texas,Parmer County,34.690834,-102.830555
#1018602,0.1020833333333334,0.1046090225563909,8.166666666666675,8.368721804511273,Increasing,Increasing,,1252.12,High Plains aquifer,Texas,Parmer County,34.69,-102.790556
#1018701,0.04208333333333354,0.06517293233082708,3.366666666666683,5.213834586466167,Increasing,Increasing,,1251.81,High Plains aquifer,Texas,Parmer County,34.65,-102.855001
#1018901,-0.3042857142857157,-0.2972105263157895,-24.34285714285725,-23.77684210526316,Decreasing,Decreasing,,1237.18,High Plains aquifer,Texas,Parmer County,34.645278,-102.77
#1019101,-0.1185714285714283,-0.1212105263157894,-9.485714285714266,-9.696842105263153,Decreasing,Decreasing,,1242.97,High Plains aquifer,Texas,Parmer County,34.73,-102.725
#1019202,-0.2600000000000051,-0.252298245614035,-20.80000000000041,-20.1838596491228,Decreasing,Decreasing,,1239.62,High Plains aquifer,Texas,Parmer County,34.728889,-102.688611
#1019301,-0.02307692307692286,-0.02342105263157891,-1.846153846153829,-1.873684210526313,No trend,No trend,,1226.82,High Plains aquifer,Texas,Parmer County,34.731389,-102.637222
#1019404,-0.1950595238095235,-0.1717894736842104,-15.60476190476188,-13.74315789473683,Decreasing,Decreasing,,1228.04,High Plains aquifer,Texas,Parmer County,34.685,-102.729167
#1019602,-0.4279910714285711,-0.4073082706766919,-34.23928571428569,-32.58466165413535,Decreasing,Decreasing,,1224.99,High Plains aquifer,Texas,Parmer County,34.685,-102.663056
#1019802,-0.1700000000000017,-0.1755964912280699,-13.60000000000014,-14.04771929824559,Decreasing,Decreasing,,1221.94,High Plains aquifer,Texas,Parmer County,34.63,-102.673889
#1020,-0.2965476190476188,-0.300203007518797,-23.72380952380951,-24.01624060150376,Decreasing,Decreasing,,1265.22,High Plains aquifer,Colorado,Kit Carson County,39.339449,-102.277974
#1020201,-0.08888888888888857,-0.08959398496240578,-7.111111111111086,-7.167518796992463,Decreasing,Decreasing,,1207.62,High Plains aquifer,Texas,Parmer County,34.723611,-102.575
#1020402,-0.1233333333333301,-0.1095087719298242,-9.86666666666641,-8.76070175438594,Decreasing,Decreasing,,1215.54,High Plains aquifer,Texas,Parmer County,34.670833,-102.599722
#1020602,-0.1312499999999996,-0.1400909090909092,-10.49999999999997,-11.20727272727274,Decreasing,Decreasing,,1194.82,High Plains aquifer,Texas,Castro County,34.67,-102.514167
#1020901,0.07875000000000032,0.0814210526315791,6.300000000000026,6.513684210526328,Increasing,Increasing,,1198.17,High Plains aquifer,Texas,Parmer County,34.656112,-102.540278
#1021,-0.1793809523809525,-0.1999248120300751,-14.3504761904762,-15.99398496240601,Decreasing,Decreasing,,1248.46,High Plains aquifer,Colorado,Kit Carson County,39.377229,-102.28325
#1021201,-0.26439393939394,-0.239609022556391,-21.1515151515152,-19.16872180451128,Decreasing,Decreasing,,1182.32,High Plains aquifer,Texas,Deaf Smith County,34.749722,-102.424167
#1021205,-0.3149999999999989,-0.2920676691729324,-25.19999999999992,-23.36541353383459,Decreasing,Decreasing,,1183.84,High Plains aquifer,Texas,Castro County,34.734722,-102.424167
#1021404,-0.5668750000000014,-0.7534999999999997,-45.35000000000011,-60.27999999999998,Decreasing,Decreasing,,1194.82,High Plains aquifer,Texas,Castro County,34.71,-102.462778
#1021605,-0.2645208333333332,-0.2566917293233082,-21.16166666666665,-20.53533834586466,Decreasing,Decreasing,,1176.22,High Plains aquifer,Texas,Castro County,34.674444,-102.398334
#1021703,-0.05634920634920675,-0.05445588235294124,-4.50793650793654,-4.356470588235299,Decreasing,Decreasing,,1200.0,High Plains aquifer,Texas,Castro County,34.63,-102.485278
#1021803,-0.325,-0.351701754385965,-26.0,-28.1361403508772,Decreasing,Decreasing,,1189.33,High Plains aquifer,Texas,Castro County,34.65,-102.447222
#1022,-0.3969230769230767,-0.3952807017543857,-31.75384615384613,-31.62245614035086,Decreasing,Decreasing,,1242.67,High Plains aquifer,Colorado,Kit Carson County,39.344172,-102.231869
#1022203,-0.2668974358974359,-0.2441503759398497,-21.35179487179487,-19.53203007518798,Decreasing,Decreasing,,1171.35,High Plains aquifer,Texas,Castro County,34.733611,-102.317222
#1022302,-0.01599999999999966,0.002929824561403456,-1.279999999999973,0.2343859649122765,No trend,No trend,,1171.96,High Plains aquifer,Texas,Castro County,34.724444,-102.263334
#1022404,-0.2835555555555558,-0.2881879699248118,-22.68444444444446,-23.05503759398494,Decreasing,Decreasing,,1171.35,High Plains aquifer,Texas,Castro County,34.7,-102.373055
#1022602,-0.1500000000000012,-0.1594812030075189,-12.0000000000001,-12.75849624060151,Decreasing,Decreasing,,1161.59,High Plains aquifer,Texas,Castro County,34.68,-102.282222
#1022703,-0.3300000000000003,-0.3322807017543859,-26.40000000000003,-26.58245614035087,Decreasing,Decreasing,,1175.31,High Plains aquifer,Texas,Castro County,34.65,-102.360834
#1022801,-0.2227884615384618,-0.2208496240601504,-17.82307692307695,-17.66796992481203,Decreasing,Decreasing,,1169.82,High Plains aquifer,Texas,Castro County,34.66,-102.3147222
#1022903,0.0006787330316742821,0.009105263157894828,0.05429864253394256,0.7284210526315862,No trend,No trend,,1166.77,High Plains aquifer,Texas,Castro County,34.644722,-102.273889
#1023702,-0.02333333333333343,-0.02310629514963877,-1.866666666666674,-1.848503611971101,Decreasing,No trend,Different,1163.42,High Plains aquifer,Texas,Castro County,34.665278,-102.210001
#1023703,-0.01799999999999997,0.0005789473684210869,-1.439999999999998,0.04631578947368695,No trend,No trend,,1161.59,High Plains aquifer,Texas,Castro County,34.643889,-102.238889
#1023902,-0.03654761904761888,-0.03304511278195479,-2.923809523809511,-2.643609022556384,Decreasing,Decreasing,,1160.37,High Plains aquifer,Texas,Castro County,34.657501,-102.139167
#1024,-0.1166666666666648,-0.06238345864661649,-9.333333333333183,-4.99067669172932,No trend,Decreasing,Different,1213.41,High Plains aquifer,Colorado,Kit Carson County,39.383339,-102.100201
#1024401,-0.02746153846153786,-0.02922556390977441,-2.196923076923029,-2.338045112781953,Decreasing,Decreasing,,1153.97,High Plains aquifer,Texas,Castro County,34.69,-102.099167
#1024501,-0.01200000000000022,-0.01172180451127815,-0.9600000000000175,-0.937744360902252,Decreasing,No trend,Different,1136.6,High Plains aquifer,Texas,Castro County,34.69,-102.042222
#1024802,0.04330357142857134,0.05548120300751878,3.464285714285707,4.438496240601502,Increasing,Increasing,,1138.12,High Plains aquifer,Texas,Castro County,34.66,-102.059445
#1024901,0.01641025641025715,0.01665413533834584,1.312820512820572,1.332330827067667,No trend,No trend,,1129.89,High Plains aquifer,Texas,Castro County,34.65,-102.008334
#1025103,0.02720779220779192,0.02728571428571452,2.176623376623353,2.182857142857161,Increasing,Increasing,,1297.23,High Plains aquifer,Texas,Parmer County,34.611389,-102.963889
#1025301,0.0955769230769231,0.0986090225563909,7.646153846153848,7.888721804511272,Increasing,Increasing,,1277.42,High Plains aquifer,Texas,Parmer County,34.600834,-102.896667
#1025402,0.03857142857142902,0.03875939849624066,3.085714285714322,3.100751879699253,Increasing,Increasing,,1288.39,High Plains aquifer,Texas,Parmer County,34.579722,-102.973611
#1025802,-0.1033333333333325,-0.1021818181818181,-8.266666666666602,-8.17454545454545,Decreasing,Decreasing,,1261.87,High Plains aquifer,Texas,Parmer County,34.5,-102.938611
#1025914,-0.3424871794871797,-0.3494135338345867,-27.39897435897437,-27.95308270676694,Decreasing,Decreasing,,1240.84,High Plains aquifer,Texas,Parmer County,34.53,-102.881667
#1026,-0.2690909090909092,-0.258,-21.52727272727273,-20.64,Decreasing,Decreasing,,1235.35,High Plains aquifer,Colorado,Yuma County,40.129158,-102.662995
#1026102,-0.1937980769230766,-0.2020676691729322,-15.50384615384613,-16.16541353383458,Decreasing,Decreasing,,1264.62,High Plains aquifer,Texas,Parmer County,34.605278,-102.860834
#1026306,-0.09142857142857151,-0.1070000000000002,-7.314285714285721,-8.560000000000018,Decreasing,Decreasing,,1262.79,High Plains aquifer,Texas,Parmer County,34.59,-102.789167
#1026402,-0.2896428571428535,-0.2895338345864664,-23.17142857142828,-23.16270676691731,Decreasing,Decreasing,,1260.35,High Plains aquifer,Texas,Parmer County,34.563612,-102.865556
#1026502,-0.4643560606060603,-0.4676917293233083,-37.14848484848482,-37.41533834586466,Decreasing,Decreasing,,1250.29,High Plains aquifer,Texas,Parmer County,34.553612,-102.801389
#1026603,-0.5687301587301593,-0.5660075187969923,-45.49841269841274,-45.28060150375939,Decreasing,Decreasing,,1240.84,High Plains aquifer,Texas,Parmer County,34.55,-102.751945
#1026802,-0.9462912087912086,-0.9466165413533831,-75.70329670329669,-75.72932330827065,Decreasing,Decreasing,,1233.53,High Plains aquifer,Texas,Parmer County,34.510001,-102.805556
#1027,-0.02004545454545463,0.009073529411764604,-1.60363636363637,0.7258823529411683,No trend,No trend,,1283.51,High Plains aquifer,Colorado,Cheyenne County,38.965565,-102.298524
#1027104,-0.5357142857142857,-0.5346315789473685,-42.85714285714285,-42.77052631578947,Decreasing,Decreasing,,1237.18,High Plains aquifer,Texas,Parmer County,34.615001,-102.718611
#1027105,-0.3157142857142884,-0.3137744360902252,-25.25714285714307,-25.10195488721802,Decreasing,Decreasing,,1249.38,High Plains aquifer,Texas,Parmer County,34.591111,-102.744445
#1027501,-0.4291249999999994,-0.4488646616541352,-34.32999999999996,-35.90917293233082,Decreasing,Decreasing,,1246.94,High Plains aquifer,Texas,Parmer County,34.569444,-102.683611
#1027902,-1.1265,-1.12903007518797,-90.12,-90.32240601503759,Decreasing,Decreasing,,1221.94,High Plains aquifer,Texas,Parmer County,34.5225,-102.666389
#1028,0.4349999999999996,0.4602857142857142,34.79999999999997,36.82285714285714,No trend,Increasing,Different,1315.82,High Plains aquifer,Colorado,Cheyenne County,39.002228,-102.34298
#1028103,-0.5883124999999989,-0.5851503759398493,-47.06499999999991,-46.81203007518795,Decreasing,Decreasing,,1232.61,High Plains aquifer,Texas,Parmer County,34.591389,-102.604723
#1028202,-0.2225000000000001,-0.2107739938080497,-17.80000000000001,-16.86191950464397,Decreasing,Decreasing,,1221.64,High Plains aquifer,Texas,Parmer County,34.614445,-102.5675
#1028301,-0.3920833333333341,-0.390466165413534,-31.36666666666673,-31.23729323308272,Decreasing,Decreasing,,1215.85,High Plains aquifer,Texas,Castro County,34.595834,-102.516944
#1028501,-0.7166666666666677,-0.6239172932330829,-57.33333333333341,-49.91338345864663,Decreasing,Decreasing,,1221.64,High Plains aquifer,Texas,Parmer County,34.5519444,-102.5663889
#1028801,-0.6114285714285717,-0.6237362637362639,-48.91428571428573,-49.89890109890111,Decreasing,Decreasing,,1208.53,High Plains aquifer,Texas,Parmer County,34.53,-102.545834
#1029201,-0.3141666666666669,-0.3133082706766922,-25.13333333333335,-25.06466165413538,Decreasing,Decreasing,,1204.87,High Plains aquifer,Texas,Castro County,34.590556,-102.456112
#1029302,-0.151250000000001,-0.1498070175438597,-12.10000000000008,-11.98456140350878,Decreasing,Decreasing,,1200.0,High Plains aquifer,Texas,Castro County,34.61,-102.403889
#1029603,-0.6443749999999979,-0.6560526315789478,-51.54999999999983,-52.48421052631582,Decreasing,Decreasing,,1194.82,High Plains aquifer,Texas,Castro County,34.567778,-102.405834
#1029704,-0.7622027972027969,-0.7610441176470585,-60.97622377622375,-60.88352941176468,Decreasing,Decreasing,,1202.74,High Plains aquifer,Texas,Castro County,34.53,-102.468333
